tickers,ED,DTE,PCG,EIX,SO,EXC,CNP,PPL,FE,CMS,WEC,PEG,XEL,ETR,AEP,NEE,AEE,DUK,PNW,NI,LNT,D,AES,SRE,NRG,ES,AWK
ETR,0.663123833041344,0.08413736825125183,0.31398137636770795,0.028235825594430462,0.5980020915726856,0.5666254553205061,0.38824903367362806,0.4360086797718889,0.23323713681651664,0.011359228159729107,0.20303139232719253,0.6366368936164519,0.4825975017889568,1.0,0.39918675516381613,0.0531447618195562,0.6866615849818027,0.20271996453004132,0.3517284441474024,0.10927188863453416,0.29709818345233896,0.416056195964971,0.20472042572639718,-0.12878534350732795,0.1902843526523408,-0.28797185990323737,-0.0069486342208097285
AEP,0.14274895266115112,0.7691036222228043,-0.09865443474749264,0.5473186007913307,0.0779068950257473,-0.45546862250597786,0.6382235199984418,0.8538522261567698,-0.23871017483939944,0.6800467629577499,0.4932414182093429,0.43753679870212847,0.4446570802273121,0.39918675516381613,0.9999999999999998,0.723277398616826,0.10529482130740457,0.8734454453613945,0.8239945885982085,0.4471326636791313,0.38794848633737206,0.41929972684660505,-0.6931557419516865,0.5510680956879273,0.9195245253307487,-0.5354166183080757,0.7817060781926826
NEE,0.3061267916270251,0.9678458276737824,0.3143592236066375,0.9040485581548472,0.3028944154135452,-0.5463371344367591,0.8058514859728826,0.5649671314537908,0.27005250909191303,0.9354332260302951,0.868725453187117,0.5277500018960412,0.6702758687622548,0.0531447618195562,0.723277398616826,0.9999999999999999,0.21265131056983017,0.843629421948952,0.9205887441108653,0.7927789839682354,0.7125939655560682,0.6783767382559319,-0.7022611691944657,0.9373375239343489,0.6719112558547113,-0.7449797261766332,0.8121892909364341
AEE,0.9278584059264465,0.16123608353985014,0.824051286250686,0.2987110800948842,0.8910091365955926,0.6464130384614625,0.5679288754450171,0.1513056837128623,0.72740504206789,0.11421629577731127,0.5091906045148984,0.8292513038766981,0.7480944598163752,0.6866615849818027,0.10529482130740457,0.21265131056983017,1.0,0.06362466505730308,0.4136120385960927,0.47519839160282495,0.5612630085618693,0.7593524984343304,0.33690696811832155,0.13320254882656563,-0.09377369310994983,-0.45537186483131625,-0.06382484357776183
DUK,0.1456264541305919,0.8700513591945335,0.04399083231505037,0.6519017692464768,0.05814875475837912,-0.5764945624408611,0.651138512764763,0.7783875086930503,-0.06530255799060933,0.7839804409471463,0.6560504441767439,0.38563951539362473,0.4836038207833709,0.20271996453004132,0.8734454453613945,0.843629421948952,0.06362466505730308,1.0,0.8501008402736154,0.532799187238374,0.5317176811485052,0.4586812298649573,-0.7329911085873985,0.7405450996888967,0.8600511703485931,-0.610145151392925,0.903611770405947
PNW,0.5075414764246615,0.9241360903390404,0.3813925481684356,0.8332098745238152,0.46024480234143317,-0.3381233157051132,0.8456083563714862,0.696421517722125,0.2781394265462213,0.8722832504580695,0.8703358831165434,0.6935384557297872,0.8029537689045295,0.3517284441474024,0.8239945885982085,0.9205887441108653,0.4136120385960927,0.8501008402736154,1.0,0.7540759096694676,0.7500988550556222,0.7731489737599322,-0.5554538659327457,0.8076572360772606,0.700291240890092,-0.8010796078164111,0.7685196559346636
NI,0.459131096769651,0.7386596402596171,0.557404460497308,0.8727703087317227,0.5240400287742873,-0.19020587153333854,0.8535214283556309,0.34691451150376407,0.5113176315577609,0.7135535687562693,0.7564361459571007,0.6098236769645818,0.6810135651195389,0.10927188863453416,0.4471326636791313,0.7927789839682354,0.47519839160282495,0.532799187238374,0.7540759096694676,1.0,0.6338724338702166,0.7161308191523343,-0.40028066713820143,0.729306563142557,0.387313726218688,-0.5272554941577947,0.5336846534551545
LNT,0.7006639166454313,0.7049921323572361,0.691106807005232,0.6576529880844404,0.6609542723760657,-0.021499997525049178,0.6515901838388602,0.35847637863199255,0.6422171286444467,0.7401001513764591,0.9000921641933322,0.7347113885275991,0.8572751463173178,0.29709818345233896,0.38794848633737206,0.7125939655560682,0.5612630085618693,0.5317176811485052,0.7500988550556222,0.6338724338702166,0.9999999999999999,0.8355953697446636,-0.16142778392376028,0.7444265359166939,0.2552920791845449,-0.750684330222168,0.4576369408249752
D,0.8160400971783732,0.6280967430992086,0.7616012396068605,0.6858119459831424,0.7822930023852934,0.13450281766571914,0.770680176723001,0.36812134400721896,0.6719679056402257,0.6211089852599636,0.8587898516425726,0.8786752287640902,0.9142424944485703,0.416056195964971,0.41929972684660505,0.6783767382559319,0.7593524984343304,0.4586812298649573,0.7731489737599322,0.7161308191523343,0.8355953697446636,1.0,-0.09095596448682769,0.6235393837287357,0.25239632422182856,-0.7771865397885902,0.34525475463958655
AES,0.2870889919705045,-0.7107158693579093,0.30713869626208967,-0.544068266063468,0.28291536184628685,0.8146982205990242,-0.46841601893750895,-0.4953776081124408,0.3386988642345743,-0.6470552998256981,-0.3616390663376708,-0.004988320958805448,-0.10520453583859296,0.20472042572639718,-0.6931557419516865,-0.7022611691944657,0.33690696811832155,-0.7329911085873985,-0.5554538659327457,-0.40028066713820143,-0.16142778392376028,-0.09095596448682769,1.0,-0.6197343773608781,-0.7486535224043305,0.3711332797957385,-0.7473032482059329
SRE,0.25086232114685975,0.9229672065856225,0.3423043049222644,0.8510454040759846,0.24660791830936502,-0.5901875748368209,0.6652110359088721,0.41958510932596604,0.31051951960302804,0.9265225943481745,0.8574555971458122,0.4040259365030469,0.6176619072191639,-0.12878534350732795,0.5510680956879273,0.9373375239343489,0.13320254882656563,0.7405450996888967,0.8076572360772606,0.729306563142557,0.7444265359166939,0.6235393837287357,-0.6197343773608781,0.9999999999999999,0.5320424124638891,-0.6943926607627929,0.7498340077835903
NRG,-0.09532790290714102,0.7294875612784826,-0.25154022249671093,0.49351579679539215,-0.18003771271470376,-0.5890970780556404,0.5052660570006489,0.8708636608626734,-0.3895410226581701,0.6190814388866561,0.3483482601858443,0.2526381166781013,0.23105955442674495,0.1902843526523408,0.9195245253307487,0.6719112558547113,-0.09377369310994983,0.8600511703485931,0.700291240890092,0.387313726218688,0.2552920791845449,0.25239632422182856,-0.7486535224043305,0.5320424124638891,1.0,-0.34548326662875095,0.852963828200417
ES,-0.623423801370615,-0.7135608397016698,-0.45831319540059295,-0.6468074791649673,-0.5470466166027734,0.18918695437256547,-0.6703109240586413,-0.3653156393988789,-0.4268777062213042,-0.7148848786159894,-0.8663831725373476,-0.6821420763966657,-0.8266907105265346,-0.28797185990323737,-0.5354166183080757,-0.7449797261766332,-0.45537186483131625,-0.610145151392925,-0.8010796078164111,-0.5272554941577947,-0.750684330222168,-0.7771865397885902,0.3711332797957385,-0.6943926607627929,-0.34548326662875095,1.0,-0.43964512024831903
AWK,0.001142943911746225,0.8526989737439501,-0.008787856318466427,0.6317931624652702,-0.07240931687829068,-0.6685654319045826,0.5571632467557817,0.7502118672659004,-0.1515079318326189,0.7579353676532437,0.5612583992534798,0.23316977268546266,0.35224592420659445,-0.0069486342208097285,0.7817060781926826,0.8121892909364341,-0.06382484357776183,0.903611770405947,0.7685196559346636,0.5336846534551545,0.4576369408249752,0.34525475463958655,-0.7473032482059329,0.7498340077835903,0.852963828200417,-0.43964512024831903,1.0
