tickers,ORCL,MSFT,FISV,CDNS,IBM,AAPL,AMAT,TXN,GLW,MSI,HPQ,XRX,SWKS,KLAC,LRCX,MU,INTC,AMD,ADBE,CSCO,XLNX,QCOM,SNPS,INTU,MCHP,FLIR,IT,NTAP,CTXS,ANSS,APH,ADSK,VRSN,CTSH,NVDA,FFIV,JNPR,AKAM,FIS,CRM
HPQ,-0.6911962923034034,0.5351750920830856,-0.8921007464957834,-0.6702894460389783,0.09422695202682925,-0.40710645181888777,0.626817503432481,0.6067709628411587,0.6932512664642416,-0.4853678959541051,1.0,0.8552054841364899,0.14812289598999423,0.47514150762259516,0.7766623580799049,0.711362459597263,0.8176111605874646,0.8980677810134019,-0.30862278185697334,0.40110941720818344,0.35279876456190895,0.012571125752544335,-0.6929714898877137,-0.49731287058699997,0.7487996789685455,0.7845403869958036,-0.8006799665989386,0.6744070084733191,0.316608636448154,-0.5940956207152158,-0.6660291459790356,0.5821628407175162,-0.471343142874092,0.27831863283752106,0.6800769561025773,0.8105765603028118,0.6462647756270147,-0.35437004399033034,-0.5247138477136284,-0.4412573043200738
XRX,-0.43582987738414253,0.6715305471056872,-0.658790720668094,-0.40322916994970853,0.2685302065415149,-0.19280215791098496,0.7596669224377469,0.6242672559012227,0.7873571573481615,-0.26656674319922524,0.8552054841364899,0.9999999999999998,0.21253137246371356,0.49936444063974805,0.6684022622192838,0.7942643643874512,0.7339516908492175,0.8234882534262848,-0.08613806334512555,0.588108214787053,0.5216645378244494,0.2260195972709985,-0.4351953638568171,-0.25387060760801916,0.8059651717537252,0.73422322579988,-0.5975685511149319,0.7592174688693905,0.4208387307683811,-0.32785459344060985,-0.4661312732223885,0.5947942924574887,-0.354338313781616,0.44434739365738385,0.7417231237096014,0.8107804061801084,0.6597059240334643,-0.07574666311951851,-0.389943588438377,-0.19483797152793642
SWKS,0.06859508686433247,0.6456574202703576,-0.09152703136021059,0.03434722210399681,0.49921690960722387,0.5972277743309302,0.26385477284367526,-0.10495258429663652,-0.06422116115576537,-0.2643787273167691,0.14812289598999423,0.21253137246371356,1.0,0.5470279706525322,-0.04090328102942376,0.17378398030149392,0.4766810766540441,0.36020510868768524,-0.01383302334095726,-0.057318636626217646,0.0014590503942031087,0.2217543288352477,0.06772649196368466,0.058626169775503355,0.2327416828750334,-0.008298495461194027,0.2445705872623666,0.20731785523654528,0.7514369126467801,0.04096454617529757,0.0835120577030084,0.21907217731990508,0.4406083171873243,-0.20568070914023723,0.32277608237743055,0.21764098471969567,-0.05904357960916406,-0.10161080418121034,-0.08325086662532082,0.014440411725254563
KLAC,0.019336076703800244,0.6785401179077419,-0.30676619431547086,0.0416471780046029,0.45740660596500976,0.23235900907006546,0.7462044744544368,0.503548935802625,0.30013231310346794,-0.2002263366575648,0.47514150762259516,0.49936444063974805,0.5470279706525322,1.0,0.4228444200727639,0.636099920863953,0.6623073753534269,0.5520945317312828,0.1440852658712896,0.4991056308341361,0.47831110833558615,0.4359210130939636,-0.0444983770637958,0.1533839206214019,0.7583496377834296,0.46882721052146814,-0.039785361421627176,0.654437003417796,0.5051449577842632,0.016653347930822654,0.1428690197394844,0.6574438491876613,0.057712700849361157,0.36402536455046774,0.6788584847215547,0.5470887818593929,0.5616769527827609,0.1656413918291,-0.2693597903243479,0.043530402506272325
LRCX,-0.5910825936673987,0.4038358520071496,-0.6406472095473495,-0.510438235406152,0.051304614295214074,-0.5430775029329533,0.5750164648078052,0.7956798769706546,0.6517784678076528,-0.0658831548492299,0.7766623580799049,0.6684022622192838,-0.04090328102942376,0.4228444200727639,1.0,0.6538940454462357,0.7340751777532758,0.8031593109679842,0.10244050517525201,0.5540526529638716,0.5207493908229394,0.20373145547730892,-0.5787645476720071,-0.2140174541431064,0.5786873530461594,0.7486655576615422,-0.7569037754118093,0.6456999183027271,0.13285255394848733,-0.4522465125227715,-0.42952220930068186,0.7042757492497943,-0.6740162962293187,0.5032565841147262,0.4470471292435553,0.710239143171255,0.683369670531042,-0.22923366436915135,-0.07929887674657299,-0.12682629363701672
MU,-0.1128619159561749,0.5714566049597294,-0.48829974147682725,-0.09292565637202596,0.22648279384473907,-0.25469757391106723,0.8685532532239562,0.8159836562609674,0.5688295988186433,-0.08404818685926357,0.711362459597263,0.7942643643874511,0.1737839803014939,0.636099920863953,0.6538940454462356,0.9999999999999998,0.610739668793496,0.6891164172332422,0.17199023287455195,0.7588227715685695,0.75749885475886,0.45566689091799156,-0.19164199005953075,-0.010490876718916659,0.8540605856471106,0.8193415083222978,-0.41438467038832044,0.8588623492688796,0.20085789530797118,-0.21131543213416348,-0.12776843549493513,0.7503653449075206,-0.49109787793932486,0.6227824221092045,0.8219200493035932,0.7000198154773684,0.8572114323838338,0.17866122030244205,-0.31433694277496405,-0.03586559504221541
INTC,-0.5615992771372141,0.7719687951235509,-0.6632446185235529,-0.537764139312343,0.43014096265545176,-0.05117227393580486,0.5997474699695209,0.49376220078987204,0.5970105350340303,-0.31890244476249247,0.8176111605874647,0.7339516908492176,0.476681076654044,0.6623073753534268,0.7340751777532758,0.6107396687934961,1.0,0.9390659972423607,-0.07917681579279033,0.3346322650542592,0.32030243316404067,0.2107516794232977,-0.567654308252156,-0.2517496629350134,0.6564417177916048,0.5910772539246114,-0.5327717939262483,0.6338210709076539,0.6112645232786107,-0.43265143270761997,-0.45537839204292363,0.7255393042399094,-0.16725705193450474,0.24490150148197704,0.5900904178901464,0.8044541675839605,0.4706437817573582,-0.3163047458208889,-0.23951568881418894,-0.182193952319621
AMD,-0.6337324450730057,0.7116464620455486,-0.7605854123744642,-0.5975208295211831,0.3368447468799407,-0.19268527867988028,0.6146661436609901,0.5888693809635158,0.6981935692360418,-0.3251340980878577,0.898067781013402,0.8234882534262848,0.3602051086876852,0.5520945317312828,0.8031593109679842,0.6891164172332422,0.9390659972423607,1.0,-0.1147201004900267,0.4258052413408994,0.383359286348348,0.2121414426139056,-0.611179658157319,-0.3367168978731259,0.6764584409907637,0.7195381981339115,-0.6819567931564144,0.7207805124953303,0.5262682831012215,-0.5182566431057026,-0.5655307043698916,0.7141590998908093,-0.3568528721990968,0.33789405150203283,0.6120830118810122,0.871473330811933,0.5700567844278636,-0.3174986761237801,-0.27996106073036675,-0.18584845107577572
ADBE,0.5716337709292055,0.17903810064000003,0.5481631686808134,0.6488580559409125,0.3856967748089298,0.17280925002637085,0.24823745232519265,0.37419484535905007,0.07746247516487208,0.8133823308898541,-0.30862278185697334,-0.08613806334512555,-0.01383302334095726,0.1440852658712896,0.10244050517525201,0.17199023287455195,-0.07917681579279033,-0.11472010049002669,0.9999999999999998,0.5273542084439308,0.5745954467932687,0.7367253659469094,0.5718257530430336,0.6790205332472005,-0.00040090857249357236,0.07590707937450761,0.36639365367386045,0.24851219934578575,-0.021279961967829303,0.591878893638414,0.6909269788678782,0.4193959278772336,-0.04804984471547863,0.5896957755539528,-0.055617307122056196,0.07077538379579171,0.28201310218171394,0.6718316217015359,0.5353092941438832,0.8017381046541153
CSCO,0.15102247793243423,0.43086480058766335,-0.13289002737204547,0.24945027895148836,0.290373611185555,-0.17672903990610575,0.8056011794230324,0.8449415826046205,0.57130711095801,0.32652357064396764,0.40110941720818344,0.588108214787053,-0.057318636626217646,0.49910563083413606,0.5540526529638717,0.7588227715685695,0.3346322650542592,0.4258052413408994,0.5273542084439308,1.0,0.9151573708357859,0.6883372103271318,0.1630560945146616,0.3019498473553878,0.6900353870133071,0.671532096908421,-0.202517330105404,0.8069973394378444,0.03647286385889579,0.2089347794428617,0.2132845199860385,0.6936954148923816,-0.427155786116153,0.8957064250540374,0.5590511328081028,0.5974687773928856,0.8393070718166823,0.5147614204773342,-0.05682118195679722,0.39450865780570293
XLNX,0.24260732907048993,0.46985789763615454,-0.08349817037723482,0.3387621543186428,0.32030010512816115,-0.16800206137393617,0.8212698003148451,0.8354875835094611,0.46812930537500197,0.40761891376278314,0.35279876456190895,0.5216645378244494,0.0014590503942031087,0.4783111083355862,0.5207493908229393,0.75749885475886,0.32030243316404067,0.38335928634834804,0.5745954467932687,0.915157370835786,0.9999999999999998,0.7318206098316806,0.23756047770382324,0.33710986259480497,0.6598485876917268,0.673995902950564,-0.14024138997147845,0.7749342189345513,0.029761073880738634,0.2522361479828088,0.2869397504336201,0.737983275935246,-0.3873557842254701,0.8367673818422875,0.5713736847993488,0.5486013561900808,0.8282651713668371,0.5191819775523283,-0.04082236105684994,0.3683481513432014
QCOM,0.4071977308090702,0.4848107179197812,0.18964207636953906,0.5145520655215163,0.5917823542728834,0.2670934271355636,0.5049009133014022,0.5538744200054737,0.26857449965865904,0.6025234170402206,0.012571125752544337,0.22601959727099852,0.2217543288352477,0.4359210130939635,0.20373145547730892,0.4556668909179916,0.21075167942329767,0.2121414426139056,0.7367253659469095,0.6883372103271318,0.7318206098316806,1.0,0.48063323832188265,0.47229456057782676,0.3293920446540721,0.37116940714863517,0.23408481468296324,0.622651787099873,0.17162630315861177,0.4566723250439921,0.5256149819080039,0.589628761200354,-0.04488537306563321,0.6781826954675435,0.29173087668889675,0.4268698326883461,0.5331631134835363,0.5785631970502594,0.19039456945227567,0.6888566877018057
