tickers,PEG,PCG,AEP,NEE,D,CMS,NRG,XEL,PPL,AEE,WEC,DUK,LNT,ETR,EIX,ES,AWK,CNP,SRE,AES,EXC,PNW,NI,ED,DTE,SO,FE
WEC,0.5720682949591969,0.6236066302711216,0.6042028641083598,0.5881495389554212,0.6384894452554604,0.6894001490158762,0.2634276000168843,0.7316053271796551,0.5338965199080599,0.6595862848419225,0.9999999999999998,0.6063354256113983,0.6993934869109572,0.6093205217800493,0.5897017049096852,0.15347720013429733,0.47671016294929136,0.6321550782840736,0.610311672779383,0.46065095786505783,0.5022894672458493,0.717218593367975,0.5416811035450616,0.6754046268436249,0.7023333608001112,0.6314315046544234,0.5873025250075822
DUK,0.5959767776647966,0.5362985535516523,0.6506590044851772,0.5756462600057373,0.6136071215130195,0.6131615974056764,0.2700091530329079,0.6591787390000535,0.5594577231867014,0.5924201562796394,0.6063354256113982,0.9999999999999998,0.5783498434655301,0.5856094585997675,0.5808685785157714,0.07345597714151976,0.3861501063996775,0.4765553568625857,0.47498151930225607,0.4710975716991743,0.45271197684023723,0.6325406226662594,0.48644280945099067,0.6358432906610397,0.6070316585365909,0.6227647406510911,0.5817927776418786
LNT,0.5104257878464591,0.5309499912070046,0.5463720835513501,0.5917371843031529,0.6105051813120941,0.6604231057359372,0.33388126860082395,0.7047427384450969,0.537423340545139,0.6269026285247907,0.6993934869109572,0.5783498434655301,1.0,0.5780868422921911,0.5458271918261338,0.17611495233866115,0.47405874961898214,0.5809135710442366,0.5625229426168942,0.4995694640468793,0.5114013401569306,0.6692819221405776,0.5803825197996434,0.6312394906095969,0.7266204623608046,0.5696225063614309,0.5470870979999609
ETR,0.5627580283310354,0.5139860085503304,0.6720900491640969,0.5681765581377017,0.5389732877911659,0.6279992226972406,0.3786163595350319,0.6213516200322277,0.582204199090509,0.5984304635636107,0.6093205217800493,0.5856094585997675,0.5780868422921911,1.0,0.5495693742712786,0.16111150259466328,0.34928047705110465,0.4762274908703582,0.5112969384353961,0.4254367930396991,0.5520418952396919,0.605735173105938,0.48380145538804203,0.6451483269135065,0.640297785267018,0.5758030656438246,0.5867112062024413
EIX,0.4754373060994335,0.5505503303536727,0.6026087502338393,0.5692076504484466,0.546537999715906,0.5834154683249125,0.3825949914406591,0.654073503845971,0.47361998050171855,0.6323796953717522,0.5897017049096851,0.5808685785157714,0.5458271918261338,0.5495693742712786,1.0,0.0959230343383082,0.4037451377118524,0.5021798632636972,0.567223138144857,0.43968109862295507,0.4788383318355007,0.6381236561220204,0.5179620547056386,0.6079757512537386,0.5962421225081653,0.5397851806811568,0.5286345290226248
ES,0.14648947290070424,0.19469319344171074,0.16284053155285158,0.1282920498745576,0.17051268340110667,0.1280829118896949,0.18556779038961985,0.11820857113336017,0.13987157810750062,0.0953882215523427,0.15347720013429733,0.07345597714151976,0.17611495233866115,0.16111150259466328,0.0959230343383082,1.0,0.1644801377843426,0.15108715285528515,0.15109323904054123,0.1770777261046291,0.09364221849210248,0.20388952994233814,0.17434359098059596,0.09054054614858953,0.205481377631594,0.0794505381673925,0.1118236174958911
AWK,0.3776968169698088,0.3995371920517204,0.41629019068988476,0.362465210697381,0.42919382865932987,0.46730427777105654,0.3207088888416877,0.4548625477029412,0.3417175852810339,0.43789405935573156,0.47671016294929136,0.3861501063996775,0.4740587496189821,0.34928047705110465,0.4037451377118524,0.1644801377843426,1.0,0.4120775507871535,0.44909662406300277,0.35408728707767123,0.3310435102657271,0.509475035097487,0.4453263002520361,0.43477808004490703,0.5199362841101672,0.3969457312128865,0.449935473766999
CNP,0.48574843178774757,0.5001192196331548,0.5016263262415626,0.49692924397757454,0.5608636205117247,0.6130379822002223,0.36408013673304757,0.6038466897788712,0.5033600255596041,0.6586726669943325,0.6321550782840736,0.4765553568625857,0.5809135710442366,0.4762274908703583,0.5021798632636972,0.15108715285528515,0.4120775507871535,1.0,0.558853827312757,0.45455034815341505,0.4715220375520953,0.6266999356773217,0.6220662377008674,0.5948185014278062,0.6170982839992722,0.49928681973991274,0.43424048597905934
SRE,0.49554769917010105,0.582264735534366,0.48553153575113633,0.5283654570205493,0.547796101628641,0.5789619735423229,0.2715708903990314,0.630089916149264,0.44362058572662144,0.5714789853228933,0.610311672779383,0.4749815193022561,0.5625229426168943,0.5112969384353961,0.567223138144857,0.15109323904054123,0.4490966240630027,0.558853827312757,0.9999999999999998,0.47414763414043026,0.4220094345603797,0.5972361625079876,0.5577037467874241,0.5755191319694938,0.6051493338695668,0.48488698492719545,0.5256116126242547
AES,0.3860696386381564,0.4277318168997026,0.5486187561340657,0.485377624839294,0.46720048821496823,0.4964422272614549,0.35695210915044406,0.4851147433942024,0.4416167531171347,0.5154995420023304,0.46065095786505783,0.4710975716991743,0.49956946404687924,0.42543679303969917,0.439681098622955,0.1770777261046291,0.35408728707767123,0.45455034815341505,0.4741476341404303,1.0,0.37375694609861615,0.4988004969637594,0.3909039871508397,0.4317223335411472,0.5156981103569301,0.327083521632001,0.41351163434000127
