tickers,TROW,PBCT,CINF,CMA,L,FITB,RF,MTB,BEN,AJG,WFC,HBAN,MMC,JPM,MCO,LNC,BK,AFL,NTRS,AXP,CB,BAC,TRV,PNC,AON,PGR,KEY,USB,AIG,MS,RJF,C,UNM,STT,SCHW,ALL,COF,HIG,ZION,AMG,GS,BLK,MET,ADS,PFG,PRU,CME,AIZ,NDAQ,AMP,ICE,MA,WU,DFS,V,CBOE
LNC,0.7746279970765461,0.45142314812291906,0.29656335107859505,0.43546869000208144,0.3375979393446108,0.6199189552592639,0.32540181264596846,0.5543334133505757,0.8179909296087273,0.4768863827192906,0.4332780641482832,0.2598986274837747,0.5428911827247078,0.8794397843457609,0.7142112391982077,0.9999999999999999,0.8353963742590741,0.6956615533672309,0.6649672875587975,0.259519993744946,0.28989739828558203,0.7935808790048007,0.316645935942179,0.1783551138709587,0.0,0.5785391536591616,0.6876991849320254,0.23189779052295817,0.3851013255258962,0.7908924536860686,0.8385390414349361,0.8908884952867634,0.5086546788705746,0.5617661974462891,0.8000942952525176,0.3861543198066545,0.4358184787460901,0.9123057112387029,0.748955133191941,0.6429193577459171,0.9225692321181347,0.8234570426629749,0.7292252394874186,0.4016445965328346,0.8637418486797577,0.7529656193101917,-0.2095669979706154,0.43742186840023906,0.663734524180077,0.8316603269595197,0.46259680777987244,0.504365734877603,-0.13789523457974223,0.3682317964882414,0.43214251007261495,0.5382756515615654
BK,0.9054690748346996,0.20945611869567815,0.5373072197675652,0.3383886603605861,0.613267388944606,0.7073641085266691,0.4925099641911462,0.8161928983429456,0.8857617483314035,0.5637640407265438,0.6173976363375284,0.37336715136663845,0.7320766218194368,0.8689887670873128,0.8845573493342777,0.8353963742590741,1.0,0.7265777054507532,0.8776567986150627,0.44760322458036783,0.5670302382164634,0.9109284410159421,0.6226311814993366,0.018140690150677156,0.0,0.50623592955887,0.6781882894882033,0.4710874913944758,0.6346505301872554,0.5604228652505151,0.9036046139982646,0.8917854745693279,0.20109533394953172,0.7883541139217448,0.7594646292009408,0.6332640959614275,0.7240772603836002,0.8670539508239341,0.8429873464353884,0.8415403579762403,0.8385870383568262,0.7222313895255645,0.3725624622597334,0.660435966598574,0.7627347642386448,0.44250230344102626,-0.45742954782513234,0.08666036786657763,0.37010933011491687,0.8720317056937174,0.3493771626283926,0.7566868826027475,-0.42511377395155586,0.6465122065178089,0.7177417858089558,0.6952498714106095
AFL,0.701700742332327,0.18905791483023093,0.47598879502145847,-0.0898321288501617,0.38431173567332066,0.5806686153394485,0.22016996205095582,0.7411040911145219,0.7021499041092166,0.285846276212982,0.24219150691089258,0.0327544294553828,0.6830698610311385,0.5945618953808953,0.8211786203476585,0.6956615533672309,0.7265777054507532,1.0,0.5695751221743321,-0.04469977214440817,0.5098616615035324,0.756616577252323,0.6184379992540838,-0.31114754610057244,0.0,0.19717099901964516,0.6513170625281784,0.20083373437931074,0.33710568230507953,0.6335062956737447,0.7991633856647561,0.7938815818931568,0.11658399519686088,0.365888814483634,0.32672380547686536,0.5552598578058638,0.41623880917036904,0.7355188140124738,0.43083693219948127,0.7801060747292108,0.7753232045256879,0.6365809416296397,0.3901495689377253,0.4776214566917498,0.6383290302214932,0.3674557458080386,-0.5815154733648957,0.16336863255987125,0.43795379808477064,0.9311668829442108,0.08001721293657016,0.49698422723791424,-0.4255730660479873,0.49793612122789505,0.6112631199162876,0.6774648855719653
NTRS,0.8731145070853478,-0.07423601643210892,0.7484374676451044,0.5243431683321842,0.7850295777384376,0.7688837109108988,0.78656074859688,0.7861160728411689,0.8482275699499453,0.7665315080851179,0.8562742561836704,0.6286042355593325,0.8161781915533068,0.6867978575312026,0.7949771703777351,0.6649672875587975,0.8776567986150627,0.5695751221743321,0.9999999999999999,0.7228006065145482,0.6520821435738484,0.838772537415284,0.6786627375650982,0.1335961948250039,0.0,0.2923454495119109,0.6355852580455985,0.7576259988190102,0.8210573567623842,0.2659479816228381,0.8055261706156635,0.6420803945014201,-0.09945902564398625,0.6955448979680817,0.7036809115844,0.7679867101545648,0.8841269551964308,0.6279871975786522,0.8107439722442902,0.8726895052990827,0.6390376984603506,0.42552291926072455,0.14096181735692997,0.8407387441597435,0.6262667387476148,0.20741737957494114,-0.5625330416348645,-0.18612507220662744,0.07729448421948709,0.7213034435511428,0.5165705528468133,0.8588597706254043,-0.3903776745362235,0.8127594171719204,0.8207588617865802,0.7804362441083512
AXP,0.4698814285049138,-0.3400300254017044,0.5997114827704046,0.6815612733961748,0.7130453118288941,0.49304605835916865,0.8572910451252731,0.39145425032414943,0.4974036561859837,0.7819260367166558,0.8517924767061458,0.7904533098677116,0.5260127684067547,0.3436503187256137,0.33470001365171476,0.259519993744946,0.44760322458036783,-0.04469977214440817,0.7228006065145482,1.0,0.4926653687876514,0.4196991388806441,0.42183611685848044,0.4310017185933959,0.0,0.22525109368701554,0.22092158462109657,0.7887420530649373,0.7916461212339565,-0.1928034425742316,0.36472311493712173,0.13455900358294703,-0.24821572388713728,0.48484777384655536,0.5059597880255928,0.5620178897685059,0.7601958446597372,0.19819933912353097,0.6230871831852545,0.46243649421731853,0.15941616440007075,-0.03911201868567289,-0.15096982573943069,0.6834221668348963,0.2140229279385086,-0.0806616272095843,-0.25371902607288,-0.33814782727117443,-0.3042396081716979,0.1344566251175354,0.5181385601306289,0.696597394694664,-0.12714569454792152,0.6474250651730635,0.5494190863690533,0.4026441580354532
CB,0.5692399133101632,-0.3596145434461434,0.7945346504175803,0.06005409908568901,0.8557541631926762,0.7043934608937998,0.6702574418562839,0.8632387312963699,0.6092205721062365,0.5882916711862725,0.6212217393861952,0.5947106676050975,0.8205479709134089,0.28805101336963024,0.699852874059091,0.28989739828558203,0.5670302382164634,0.5098616615035324,0.6520821435738484,0.4926653687876514,1.0,0.5640687317792067,0.9472904638662885,-0.061765800433167414,0.0,0.10592595242806392,0.4544341560918339,0.7269682855169074,0.8024219036253384,-0.07862561378331064,0.6003816277796965,0.38667448091829804,-0.4959775168266223,0.3877974844017944,0.12797196347371123,0.9125719985862173,0.7735419688274251,0.38844108386200205,0.5387821733741982,0.8114446740499687,0.3173859216143561,0.006693657527176388,-0.17827978516817775,0.8252305398217246,0.19449953760737448,-0.1908131373507473,-0.7731234194838588,-0.3673000677389253,-0.330445206195353,0.5063392896465958,0.05784964327898098,0.7522178944021409,-0.38991264798813063,0.8572786441046695,0.8212334383047948,0.6108202303037958
BAC,0.8640234998046115,0.07568689199917064,0.6080672409951808,0.248828493677123,0.5619500999297395,0.6455045089656265,0.5286757742428757,0.7962952355640538,0.8617080921370855,0.5091465386869458,0.5889379762585514,0.33736701278968084,0.7091359346411498,0.7913815724238685,0.9120572545922283,0.7935808790048007,0.9109284410159421,0.756616577252323,0.838772537415284,0.4196991388806441,0.5640687317792067,0.9999999999999998,0.6635708124829144,-0.1227320770157398,0.0,0.5118902316546406,0.5721264162137291,0.4426619212128198,0.617377369610681,0.5363288982203473,0.8817605506706856,0.8689776353661426,0.09871653176038019,0.7012308465169931,0.661340312947102,0.6912106958202844,0.7014549970282579,0.8356717270391033,0.7963475056806466,0.853229374318182,0.815342574022001,0.688897463356968,0.2295777189679177,0.7213316167512672,0.6883642214524837,0.31409273914215663,-0.46539245422230957,-0.03604215650107777,0.28508264375499104,0.8746101274858428,0.3481032750619951,0.8074808341830195,-0.5323793039649121,0.6788927487547248,0.783049766474842,0.7542604018800421
TRV,0.591899589235727,-0.3929918124452818,0.833715476592038,-0.054552703526445,0.8103978468917516,0.6368981640155725,0.6238408357759642,0.8922516699740956,0.6175905407023518,0.5090862099252161,0.5560980689087155,0.459498621683614,0.8278057581472755,0.29710141667569834,0.7748938698091713,0.316645935942179,0.6226311814993366,0.6184379992540838,0.6786627375650982,0.42183611685848044,0.9472904638662885,0.6635708124829144,1.0,-0.23428364181986486,0.0,0.08913158070266822,0.4030851709246773,0.6483392076599132,0.7670808639278734,-0.03356986010784289,0.6450875375200109,0.45648834376587816,-0.4985164702510644,0.45207512932398536,0.13451599337815223,0.9229261949941805,0.7642560413339645,0.4356026778323904,0.505989679492999,0.8587515227675797,0.3541170897002202,0.09042049035025859,-0.23781358654322138,0.8512414812890874,0.19078786104226234,-0.24693373252636788,-0.7929694162309244,-0.4315530618810258,-0.29402542734959536,0.5933647071495727,0.016895125222427552,0.7971639192847473,-0.5773246915653929,0.8642431219809606,0.8902866156011973,0.6711489730846331
PNC,0.023689967126663658,0.3400013491975499,-0.23206998070390913,0.7865013547447581,0.11086724576991602,0.3413903113144522,0.26890492593556903,-0.17013565545208487,0.023005760034289384,0.36147973127186617,0.3768048211530305,0.6319891083493517,-0.03188406484913905,0.23550467278439208,-0.183914651185908,0.1783551138709587,0.018140690150677156,-0.31114754610057244,0.1335961948250039,0.4310017185933959,-0.061765800433167414,-0.1227320770157398,-0.23428364181986486,0.9999999999999999,0.0,0.07280903201975807,0.3128089669934635,0.2576646598153456,0.12727810684314728,0.13684532607070507,0.046976742463588336,-0.04287822987537353,0.3031039523684056,0.07809580001294261,0.3695025747715877,-0.15072456607063392,0.04421498443538377,0.013249533179298556,0.33135657905156624,-0.12574939441735866,0.0775820918513826,-0.034259553508219236,0.38124075774994515,-0.09599339692963689,0.2570806949346992,0.39308804085346466,0.2527642624613108,0.32337762636878487,0.15908682607389157,-0.18955556288485934,0.2001779497285483,-0.11197226880137495,0.6850407036879655,-0.14378311663434043,-0.2827256021308211,-0.22643965687513126
AON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
