tickers,HON,FAST,ETN,WM,GE,HII,KSU,XYL,CAT,DE,BA,LMT,EMR,MMM,TXT,CTAS,NOC,DOV,ALK,FLS,MAS,CMI,PH,JCI,JBHT,SWK,AVY,ADP,UNP,RHI,EFX,GWW,ITW,LUV,SNA,PCAR,FDX,PAYX,PNR,CSX,NSC,AOS,ROP,SRCL,ROK,AME,CHRW,URI,PWR,RSG,UPS,EXPD,FLR,GPN,AYI,UAL,TDG,DAL,VRSK
FLS,0.7754800607444491,-0.17589906126866783,0.0,-0.15058302504940008,0.7787855531718291,0.7793778179728175,0.8548510235178757,-0.06340719125864389,-0.37070872238165703,0.45013079919952154,0.006879252317703848,0.8109292397414192,0.4302990860313714,0.7846299438673701,0.1911017688443793,0.8872358606124588,0.8326807493738093,0.3440783254664038,-0.21384057446138638,1.0,0.8283455216750105,-0.09730780074732301,0.0840710207203334,-0.45591015616128994,0.44565178702859826,0.19951300202937128,0.8276087257406923,0.7027528251046493,0.8127952004254938,-0.1570940533583272,0.7672049192989312,0.13138062160278494,0.8594716131713185,0.5100899671773886,0.9379795289266918,0.31663053063647645,0.06577829127953584,0.6567689148791034,0.0,-0.4884265792981387,-0.5316878315030229,0.930596846322307,0.8577658657532926,0.7333281003125558,0.1852942345089359,-0.6496044849662899,-0.1991432202590509,0.3062908143913966,0.865636235000379,0.18313069931966264,-0.5409348675153924,-0.4377443459547044,0.28334334761523305,-0.24304982544221437,0.8357090682924956,-0.2659680344494364,0.6584605110357292,-0.060000737156633434,0.43895789920878736
MAS,0.6126608379622203,-0.3772595845070686,0.0,-0.4569509283798805,0.759081527058687,0.7968306232091285,0.7666725638971557,-0.12679039093241096,-0.5416096257964774,0.32394917695637804,-0.12362330163249075,0.6505042377398906,0.13746777227681198,0.6748680232176452,-0.00949808711935688,0.7464370725386689,0.7337135368623497,0.14066640269914815,-0.4097495337911037,0.8283455216750105,1.0,-0.308837613276602,-0.10239127417905713,-0.4937125644543198,0.5932626964420293,0.039943904860183996,0.6652124993868822,0.5884679609129175,0.7528373632062388,-0.14980224481195897,0.8443154294458496,-0.07504264318128778,0.7623500867834975,0.4346192801143116,0.8739989332789955,0.08782757644260311,-0.026038766638721116,0.5491648859560547,0.0,-0.4957086804420545,-0.5779142638165164,0.9047303247441232,0.8791125667136063,0.704189409487993,0.003520918626244516,-0.5373243410922479,-0.2694073943613638,0.22815599186352048,0.8547138255857709,-0.13535213169617014,-0.46901288115492773,-0.5198253755551375,0.036161886950755756,-0.38325012268698244,0.6219181246234989,-0.014807529765524463,0.7247084756231598,0.1269191313545455,0.5954372337259611
CMI,0.3433903894912552,0.8356910344197641,0.0,0.7721229257536282,-0.39739937873741105,-0.26828931333445394,-0.09651246469307329,0.8751504636163763,0.893400906731645,0.36381891662737853,0.5678033105880314,0.04730077426987654,0.6966368746416841,-0.16373333258155162,0.5091588206284379,-0.09664725793846152,-0.3916715673592387,0.7665242149851303,0.44457768889008975,-0.09730780074732301,-0.308837613276602,1.0,0.7981975814088651,0.7493903139128562,-0.21952906188040242,0.7270402375313811,0.08927073738435119,-0.30072999047981064,-0.46145437263816974,0.6936767823800387,-0.38954869895493427,0.515477588158249,0.062463945452524476,-0.1796719506223195,-0.29677903881593454,0.7952846199773889,0.5005412132220228,-0.2737708722301088,0.0,-0.010078279034883737,-0.0033977074823938365,-0.378173978256201,-0.29602933578528673,-0.39106605765794666,0.7919075312519919,0.5756590030583059,0.6305635567065835,0.7224495376085789,-0.40636773312257346,0.7612938693903445,0.5187626706779986,0.8204951408418465,0.772910643346563,0.7857100300597921,0.10955518994239444,0.13356089028966722,-0.45719020859333825,0.1342695702816586,-0.38794156380599265
PH,0.5156269878386345,0.6857559142106928,0.0,0.5850545795704476,-0.0891903010567076,-0.18296504806215985,0.09522594554879328,0.7662214159326357,0.7247921566593447,0.34900819197304067,0.42100052920985154,0.18245051570665685,0.70212135367021,0.09813599632823931,0.5084176595758614,0.11404387520876141,-0.16840872499995863,0.7683690741337545,0.3627512723855653,0.0840710207203334,-0.10239127417905713,0.7981975814088651,1.0,0.652763610428535,-0.3067236377192528,0.7983869332723013,0.27218573674077007,-0.0752624513468285,-0.2174588881214896,0.4777781199434189,-0.23905577523187635,0.5519745086071588,0.29340876664807547,-0.10775365562356909,-0.08070319048235126,0.691972918548728,0.2770402007826537,-0.07543083462588673,0.0,-0.04084649318336937,-0.006121565883486049,-0.14640596386444787,-0.024973657053397227,-0.26484581958992176,0.7409565529167688,0.4191415543353222,0.42788824855531543,0.600740681793259,-0.16203393090508167,0.6216889583833384,0.17091034249698445,0.5154916546903865,0.8023883756571026,0.6260379782910537,0.25801254039458077,-0.03163266871033908,-0.18229261134755434,0.035636222081074705,-0.3213900357624945
JCI,0.008279993898148541,0.6973803467100946,0.0,0.5372146730735006,-0.6287226535753899,-0.6200597184832782,-0.33938328142857394,0.7875639023356721,0.8730857301979074,0.27931684772421206,0.4722737928853886,-0.4013375515610389,0.39688733207377913,-0.4987716618345824,0.06362224497423805,-0.4358713290629308,-0.6934831572671968,0.5968635804716426,0.6072119023088363,-0.45591015616128994,-0.4937125644543198,0.7493903139128562,0.652763610428535,1.0,-0.5261954886973288,0.580803465280033,-0.19547045972967098,-0.48719942134730837,-0.7028482871689212,0.6540907120423151,-0.6485682482200781,0.25552069745726014,-0.3299997950627206,-0.23196782035271815,-0.6430361658034586,0.512112658407398,0.28896267827551,-0.5147344020903302,0.0,0.16607344363202414,0.2225348894391318,-0.6270928531477966,-0.5586766487652624,-0.7281280423259938,0.6752012864609277,0.7684033938827373,0.7883554352864488,0.4618260175287029,-0.5875102030609958,0.4651497451729132,0.441043188241433,0.8417548928846108,0.5552672655923727,0.7615936547789273,-0.24924513130156623,0.23601390007629866,-0.6759326158330239,0.14586160222706002,-0.6518648388772534
JBHT,0.2171256686345837,-0.3925112960119759,0.0,-0.33517087769106,0.34241058579048617,0.6654772403033409,0.32542536698000835,-0.15316683206943335,-0.5191106796968828,-0.022700648513715643,-0.09478665129551678,0.4094201972942829,-0.1491515414289422,0.29566422587006813,0.027952586250838903,0.36318903694091664,0.43802945385393066,-0.14239169081788638,-0.6036472932225794,0.44565178702859826,0.5932626964420293,-0.21952906188040242,-0.3067236377192528,-0.5261954886973288,1.0,-0.31655002496993,0.3305803536611116,0.09562179169811012,0.4216203616606281,-0.012574218045325977,0.783725040353372,-0.2211738788436558,0.4598812781068606,0.19879661172502466,0.5859446381451705,-0.12937332538014007,0.11493240659169286,0.05911656422695768,0.0,-0.4630061218729041,-0.5708826916307463,0.5541879952627116,0.6059178516503703,0.5981434454615346,-0.1589113860173432,-0.22059405728455583,-0.3543060510435754,0.27373984716436967,0.5078887293792227,-0.2198591362404405,-0.00232875631569787,-0.40755682727838505,-0.26637345555490816,-0.484985289512185,0.13360111961631815,0.370464014746848,0.5775227930372465,0.5223815792564337,0.7823786647265201
SWK,0.640899091946599,0.7672537856862351,0.0,0.4798340889030762,0.08143156895625803,-0.01799636142655958,0.24734011032236547,0.7668065950714141,0.6880965905695859,0.5312572791726354,0.3428711864005226,0.34175771682910755,0.7096043344094165,0.15870048570737133,0.48169534601693986,0.2820045629959966,-0.0527386275732345,0.7884722053527213,0.33566013972997255,0.19951300202937128,0.039943904860183996,0.7270402375313811,0.7983869332723013,0.580803465280033,-0.31655002496993,1.0,0.33771055645581094,0.11333674057452563,-0.20816399723764137,0.373379408799457,-0.2030932048860945,0.7167779273335654,0.33400151990104787,-0.2152116774270555,0.006592193731975655,0.8115439458839467,0.24227871889601216,0.0729918807878844,0.0,-0.1275148397611178,-0.15974795532710373,-0.0380404112152012,0.06701717413417406,-0.2347056198663385,0.7280768481742523,0.25498897338495885,0.573766223666939,0.6090058401627023,-0.13736209191637844,0.7694996140305193,0.10991986075310167,0.5801519460239066,0.9200276828959119,0.6554918221003974,0.36015009969309775,-0.1838088277586186,-0.17628675439386116,-0.14207297896286925,-0.3343049081378567
AVY,0.7994083771193566,-0.030878596729768493,0.0,0.011359795691800328,0.5110295168961082,0.5464509752586294,0.8279492106468298,0.15905221401405706,-0.1719996345704361,0.43919852552208577,0.1932011225554429,0.6850897316105837,0.5476256356572355,0.5687230768073188,0.10156996803670115,0.7215338781507721,0.6247464907948654,0.4866466295985063,-0.17414307874489238,0.8276087257406923,0.6652124993868822,0.08927073738435119,0.27218573674077007,-0.19547045972967098,0.3305803536611116,0.33771055645581094,1.0,0.4674720176605037,0.5827479420831894,0.1009597745882441,0.6251420007869435,0.19182522580037625,0.7601695327470384,0.3057468956862184,0.7700098878464556,0.4043032370011196,-0.000889594630841966,0.3597935131657358,0.0,-0.44911045272841454,-0.4719380498751805,0.7443714141271514,0.7353506231167086,0.45424749420469307,0.41812551218552263,-0.42287076263868856,-0.048775315527053074,0.44902722383721927,0.7008949570112102,0.2854208568629307,-0.4259525186770355,-0.2644602371796395,0.34855341738337015,-0.14783944829220286,0.6432819344838179,-0.26730883594937105,0.3981588917186651,-0.015446818339945958,0.3787287243117562
ADP,0.5319491519525417,-0.17104248037002828,0.0,-0.05448423242095225,0.8522415652513639,0.6685089909652944,0.7504510770323802,-0.25734436860841703,-0.3703841036817085,0.2662048641614967,-0.05482057146647468,0.7270239108345671,0.29556498643624896,0.8569546075471413,0.2543851421398683,0.8231822204180386,0.8764204094136283,-0.016504823584438055,-0.22650456418185222,0.7027528251046493,0.5884679609129175,-0.30072999047981064,-0.0752624513468285,-0.48719942134730837,0.09562179169811012,0.11333674057452563,0.4674720176605037,1.0,0.7855581140404895,-0.3117794540502628,0.46420649683119947,0.3213873069104451,0.5580166386920269,0.3582054068846061,0.6571728584440569,0.09751740881288551,0.009126092232792952,0.8860585744252506,0.0,0.06838365561652023,0.01924070078717474,0.6704660610488383,0.6238083632942614,0.6413934040515349,-0.16473325337781528,-0.7503000692384196,-0.28917349851869556,-0.11837398291024065,0.6234557195799225,0.13946104330082337,-0.3734549909127962,-0.4221377628174998,0.20533733135454055,-0.26385638127320576,0.7160473595304218,-0.4611723102851636,0.5926901670078839,-0.3515443821374158,0.29578832433290236
UNP,0.47449792013550074,-0.4977077786724177,0.0,-0.2646857936129115,0.8141198543321367,0.7500681192354904,0.7630255527961619,-0.44721675871778255,-0.6301023709807395,0.18016089434692767,-0.09809444744962648,0.6431326980065711,0.1279778183565775,0.8200276553598349,0.08535366466160038,0.7687743353509541,0.8946876280263023,-0.10236904374455325,-0.34914570799068256,0.8127952004254938,0.7528373632062388,-0.46145437263816974,-0.2174588881214896,-0.7028482871689212,0.4216203616606281,-0.20816399723764137,0.5827479420831894,0.7855581140404895,1.0,-0.34337601193050704,0.7330124751111592,-0.071815705626713,0.6366961407808629,0.5921232336576454,0.8485655660660125,-0.10208164414202299,0.024919897558196964,0.7584587544926316,0.0,-0.10584653400690391,-0.14653008264212486,0.8513756982600875,0.7533484041926578,0.8293120472670177,-0.25140616508524716,-0.806815614425247,-0.5353681656701581,-0.12696722374468056,0.8782803617365124,-0.14584955595051025,-0.5061186746382546,-0.6944525727293097,-0.10064800464485496,-0.4998111800460132,0.6731077065110855,-0.23995321554602683,0.7269777407279472,-0.07161299127163115,0.5228000347704103
RHI,0.1670547730671324,0.5095960681533043,0.0,0.5418893898591763,-0.45992428690277837,-0.2517189486913204,-0.04646113998086621,0.7419461961788296,0.5724532966335056,0.24987800642884211,0.6756868810552833,-0.16129535464895745,0.46728653401466164,-0.22134026338104854,0.0704166371795565,-0.20893606491075523,-0.35712430232748826,0.5146360869966071,0.2806699886637218,-0.1570940533583272,-0.14980224481195897,0.6936767823800387,0.4777781199434189,0.6540907120423151,-0.012574218045325977,0.373379408799457,0.1009597745882441,-0.3117794540502628,-0.34337601193050704,0.9999999999999999,-0.15816084378772716,0.11932452226362941,-0.13654391550019299,0.058797372293426714,-0.3011844671751938,0.52529765352019,0.48435649114998847,-0.3731535060348406,0.0,0.0340710695231039,0.06588515839050811,-0.32339850559574324,-0.26108159652225127,-0.3584652807183532,0.6418356045326505,0.5194457787591822,0.5499070274881643,0.573141610658571,-0.21463000947932187,0.45706135486866806,0.5966091082653342,0.6859858548968121,0.38923014422956903,0.541344308730074,-0.04017105980732073,0.3542517373792447,-0.4922191590271914,0.378117181281225,-0.12987796228356124
EFX,0.4595905720149989,-0.4656831778190024,0.0,-0.44787982618812483,0.6714855384034325,0.7775651835848025,0.6475845116969529,-0.26594068065803345,-0.6906130909345304,0.0643413254968409,-0.149880839964254,0.621517197258882,-0.03163804082971859,0.6168524610582093,-0.032310177567310173,0.6693843043627077,0.7460306670921251,-0.06968828879420151,-0.5795992124438072,0.7672049192989312,0.8443154294458496,-0.38954869895493427,-0.23905577523187635,-0.6485682482200781,0.783725040353372,-0.2030932048860945,0.6251420007869435,0.46420649683119947,0.7330124751111592,-0.15816084378772716,0.9999999999999999,-0.16890773085325766,0.6826798883630639,0.4076316524035397,0.8829576103392272,-0.10216109376560831,-0.06778159610498778,0.4114715527238315,0.0,-0.5662225921746258,-0.6084703673038585,0.8815467367246789,0.8364620539892696,0.789387108347913,-0.14760389353826495,-0.5631859999963138,-0.44876418742401714,0.16538837097873055,0.825029438790604,-0.19255104103546383,-0.3873893136264419,-0.6413127752994515,-0.16184091572479725,-0.5515988364766604,0.48279911938608705,0.06948172641818393,0.7637805271644805,0.2561263724051309,0.8043665231037291
