tickers,BEN,SCHW,NTRS,ADS,CINF,CBOE,AMG,FITB,PRU,AFL,COF,WFC,TRV,AJG,GS,JPM,V,PBCT,L,HIG,AMP,MTB,UNM,DFS,BAC,TROW,MS,MMC,CME,PNC,AIZ,WU,RF,C,LNC,CB,KEY,ZION,HBAN,MCO,AON,BLK,BK,PGR,AIG,MA,STT,MET,PFG,ICE,NDAQ,CMA,AXP,USB,RJF,ALL
TRV,0.30008200082153963,0.3230390937805645,0.3470893816424001,0.14484832462241895,0.3602077204761286,0.06067231710599435,0.33834382241991445,0.21481279840230433,0.24651545058381488,0.2968024161131075,0.2519814250978684,0.3547417459620751,1.0,0.33397104280867157,0.22902433213884354,0.3011751957243503,0.056299537494751514,0.15965008201202846,0.34818257654521084,0.2957092212102968,0.37332605930985713,0.2989888059187289,0.25854059451473266,0.15359388384490463,0.24214267097257205,0.32631867848899665,0.29024324669624324,0.37284458686477,0.12735720617744758,0.2968024161131075,0.21481279840230433,0.26790595954073265,0.22197922361946418,0.19076251054046872,0.30664117023840387,0.41049468600542127,0.2972901771917329,0.37769883892109996,0.4264625478403499,0.28665212166627313,0.33679606342263535,0.10658650302404414,0.28696366198781115,0.44219733818693185,0.21918557801354716,0.1514074940392832,0.3591145255733179,0.2487018403894363,0.2793112976681361,0.06285870691161577,0.18311014622079377,0.3372506275171037,0.35364855105926435,0.3711396695042357,0.38207161853234284,0.3908171777548285
AJG,0.4076502732240437,0.24371584699453552,0.3103825136612022,0.2240437158469945,0.42950819672131146,0.2327868852459016,0.3147540983606557,0.27650273224043714,0.3300546448087432,0.25792349726775954,0.18688524590163932,0.3333333333333333,0.33397104280867157,1.0,0.2797814207650273,0.34098360655737703,0.12131147540983606,0.12189123166339405,0.3901639344262295,0.3333333333333333,0.3540983606557377,0.26229508196721313,0.2612021857923497,0.17704918032786884,0.3038251366120218,0.3158469945355191,0.3519125683060109,0.46414950368152663,0.16939890710382513,0.28524590163934427,0.2885245901639344,0.21699918820792574,0.2137196034994936,0.29398907103825134,0.3508196721311475,0.2983606557377049,0.21565436845580366,0.23825136612021858,0.28040449257094685,0.32430965246610566,0.2596337894175434,0.24918032786885247,0.2743169398907104,0.32349726775956283,0.18032786885245902,0.1519125683060109,0.2568306010928962,0.3038251366120218,0.3180327868852459,0.20983606557377046,0.23387978142076501,0.38797814207650266,0.23169398907103822,0.35628415300546445,0.3180327868852459,0.3901639344262295
GS,0.380327868852459,0.39125683060109284,0.4491803278688525,0.24699453551912567,0.3650273224043716,0.2426229508196721,0.4885245901639344,0.34535519125683056,0.5147540983606557,0.433879781420765,0.30601092896174864,0.3999999999999999,0.22902433213884354,0.2797814207650273,1.0,0.5475409836065573,0.11584699453551911,0.26072698432035407,0.46775956284153003,0.5202185792349726,0.4448087431693989,0.34863387978142074,0.3934426229508196,0.2349726775956284,0.4688524590163934,0.3300546448087432,0.7027322404371584,0.4203618146549675,0.2710382513661202,0.4546448087431693,0.23060109289617486,0.2814976874737576,0.33178465300305016,0.6557377049180327,0.448087431693989,0.17704918032786884,0.3842369712080562,0.3530054644808743,0.3405302122255358,0.28165172178759595,0.2869636619878111,0.3792349726775956,0.48087431693989063,0.25464480874316936,0.3475409836065574,0.19453551912568307,0.41530054644808745,0.5278688524590164,0.44371584699453553,0.2786885245901639,0.3792349726775956,0.32349726775956283,0.32021857923497266,0.3289617486338798,0.5027322404371585,0.2994535519125683
JPM,0.3650273224043716,0.40218579234972673,0.46010928961748626,0.18142076502732238,0.31256830601092894,0.16393442622950818,0.492896174863388,0.44371584699453553,0.49726775956284147,0.5169398907103825,0.2972677595628415,0.5158469945355191,0.30117519572435036,0.34098360655737703,0.5475409836065573,1.0,0.0,0.30664117023840387,0.5289617486338797,0.49836065573770494,0.4797814207650273,0.4622950819672131,0.4306010928961748,0.15846994535519124,0.5540983606557377,0.4371584699453551,0.5650273224043716,0.4028467390443438,0.22076502732240436,0.46338797814207644,0.16721311475409836,0.24214267097257203,0.30554797533559314,0.5595628415300546,0.46338797814207644,0.24043715846994532,0.44444504361957504,0.40546448087431686,0.3689532796986143,0.33852896269227556,0.2814976874737576,0.38797814207650266,0.42185792349726775,0.33770491803278685,0.292896174863388,0.11147540983606556,0.4196721311475409,0.5453551912568306,0.3519125683060109,0.2896174863387978,0.3945355191256831,0.4109289617486338,0.3136612021857923,0.46448087431693985,0.48087431693989063,0.4196721311475409
V,0.10382513661202186,0.01639344262295082,-0.04371584699453551,0.2896174863387978,0.11038251366120218,0.13224043715846992,0.04371584699453551,0.073224043715847,0.008743169398907104,0.05027322404371584,0.15409836065573768,0.06885245901639345,0.056299537494751514,0.12131147540983606,0.11584699453551911,0.0,1.0,0.011478546479512445,0.11693989071038251,0.08633879781420764,0.10054644808743168,0.04590163934426229,0.10819672131147541,0.07431693989071038,-0.013114754098360654,0.09071038251366119,0.10710382513661201,0.08648068582745426,0.19562841530054642,-0.0032786885245901635,0.12021857923497266,0.16780541758144382,0.03990161395259088,0.057923497267759555,0.05573770491803278,0.07759562841530054,0.1039957614380779,0.11803278688524589,0.07597704574534427,0.06289310292344377,0.1525006889420939,0.13989071038251366,0.04262295081967213,0.0633879781420765,-0.0360655737704918,0.4010928961748634,0.03825136612021858,0.0,0.022950819672131147,0.28415300546448086,0.09398907103825135,0.05573770491803278,0.24699453551912567,0.056830601092896164,-0.012021857923497267,0.05573770491803278
PBCT,0.08909538457907279,0.2978956110159182,0.4553156770206603,0.023503690410430243,0.04974036807788726,0.16780541758144382,0.29024324669624324,0.5088822272583851,0.276031712959704,0.23230391684727567,0.39518995736607127,0.3908171777548285,0.15965008201202846,0.12189123166339406,0.26072698432035407,0.30664117023840387,0.011478546479512445,1.0,0.28368407727937894,0.25526100980630057,0.1754577819011188,0.49029791391060296,0.21371960349949362,0.15359388384490463,0.2126264085966829,0.2814976874737576,0.2716589333484612,0.18341106695990889,0.13172998578869044,0.44329053308974253,0.028969664924483787,0.1038819026790596,0.2340076544559869,0.25307462000067915,0.28368407727937894,0.08253621516220853,0.41116928742355696,0.37988522872672137,0.3575724439584473,0.20240703247427683,0.06889010388190268,0.38535120324077493,0.3645805000873714,0.2268379423332221,-0.003826182159837482,-0.03771522414696946,0.3864443981435856,0.2891500517934325,0.2399562811669506,0.2104400187910615,0.18201695131798304,0.4520360923122282,0.25526100980630057,0.36348730518456074,0.2027876544713865,0.20716043408262935
L,0.3945355191256831,0.3967213114754098,0.4371584699453551,0.2174863387978142,0.3617486338797814,0.19562841530054642,0.45027322404371584,0.3967213114754098,0.43278688524590164,0.4196721311475409,0.28524590163934427,0.45792349726775955,0.34818257654521084,0.3901639344262295,0.46775956284153003,0.5289617486338797,0.11693989071038251,0.283684077279379,1.0,0.4797814207650273,0.5180327868852458,0.4371584699453551,0.4448087431693989,0.25573770491803277,0.3978142076502732,0.3792349726775956,0.43934426229508194,0.394089201239032,0.2153005464480874,0.4229508196721311,0.2710382513661202,0.24104947606976132,0.20606723917981865,0.4404371584699453,0.473224043715847,0.3508196721311475,0.35905905001778476,0.3038251366120218,0.2563542047091113,0.3625924107673323,0.2858704670850004,0.44371584699453553,0.492896174863388,0.42841530054644805,0.3333333333333333,0.26994535519125684,0.4994535519125683,0.46338797814207644,0.3967213114754098,0.3300546448087432,0.35628415300546445,0.3333333333333333,0.2885245901639344,0.38469945355191254,0.4251366120218579,0.5125683060109288
HIG,0.4316939890710382,0.5300546448087432,0.5158469945355191,0.30928961748633876,0.3398907103825136,0.1825136612021858,0.4306010928961748,0.4076502732240437,0.5027322404371585,0.39562841530054643,0.414207650273224,0.4797814207650273,0.29570922121029675,0.3333333333333333,0.5202185792349726,0.49836065573770494,0.08633879781420764,0.25526100980630057,0.4797814207650273,1.0,0.4196721311475409,0.4546448087431693,0.4251366120218579,0.19453551912568307,0.45027322404371584,0.40546448087431686,0.5158469945355191,0.36343781892044064,0.37486338797814206,0.4622950819672131,0.08087431693989071,0.2563542047091113,0.3787920338239107,0.5060109289617486,0.5366120218579234,0.18469945355191256,0.42145650688063147,0.47213114754098356,0.39628315226888206,0.28165172178759595,0.23121072194446493,0.4131147540983606,0.5366120218579234,0.24918032786885247,0.30928961748633876,0.13879781420765025,0.5147540983606557,0.5814207650273223,0.4404371584699453,0.26666666666666666,0.3978142076502732,0.45355191256830596,0.22513661202185792,0.41530054644808745,0.44699453551912566,0.3901639344262295
AMP,0.4590163934426229,0.3475409836065574,0.40327868852459015,0.18579234972677594,0.45027322404371584,0.14863387978142076,0.5103825136612021,0.25136612021857924,0.3967213114754098,0.3683060109289617,0.15956284153005462,0.380327868852459,0.37332605930985713,0.3540983606557377,0.4448087431693989,0.4797814207650273,0.10054644808743168,0.1754577819011188,0.5180327868852458,0.4196721311475409,1.0,0.37486338797814206,0.321311475409836,0.2743169398907104,0.3224043715846994,0.4786885245901639,0.4163934426229508,0.42692996800895133,0.23825136612021858,0.3868852459016393,0.2262295081967213,0.257447399611922,0.1645258328730117,0.3366120218579235,0.3584699453551912,0.37377049180327865,0.24630575077439504,0.346448087431694,0.2672861537372183,0.4304075826152195,0.29024324669624324,0.39234972677595625,0.31912568306010924,0.39890710382513656,0.18360655737704917,0.14863387978142076,0.3256830601092896,0.40546448087431686,0.3693989071038251,0.27650273224043714,0.4688524590163934,0.3103825136612022,0.28306010928961745,0.32459016393442625,0.5005464480874317,0.43934426229508194
MTB,0.2775956284153005,0.37377049180327865,0.42950819672131146,0.17267759562841528,0.29071038251366116,0.13114754098360656,0.3836065573770492,0.5661202185792349,0.48415300546448087,0.3114754098360656,0.3540983606557377,0.507103825136612,0.2989888059187289,0.26229508196721313,0.34863387978142074,0.4622950819672131,0.04590163934426229,0.49029791391060296,0.4371584699453551,0.4546448087431693,0.37486338797814206,1.0,0.33879781420765026,0.17814207650273223,0.32677595628415296,0.36721311475409835,0.3770491803278689,0.3273129754735294,0.1967213114754098,0.5377049180327869,0.09508196721311475,0.31429353455807885,0.23011752704165425,0.40218579234972673,0.3519125683060109,0.3256830601092896,0.5528195739603088,0.4754098360655738,0.4203334401307176,0.28602689416487903,0.14484832462241895,0.39890710382513656,0.3650273224043716,0.2808743169398907,0.0983606557377049,0.08743169398907102,0.38907103825136613,0.45355191256830596,0.2775956284153005,0.22185792349726777,0.32021857923497266,0.5158469945355191,0.3355191256830601,0.5103825136612021,0.36721311475409835,0.37814207650273224
UNM,0.3136612021857923,0.3224043715846994,0.2797814207650273,0.2524590163934426,0.35956284153005463,0.018579234972677595,0.2885245901639344,0.39234972677595625,0.45027322404371584,0.4240437158469945,0.24153005464480873,0.41857923497267757,0.25854059451473266,0.2612021857923497,0.3934426229508196,0.4306010928961748,0.10819672131147541,0.2137196034994936,0.4448087431693989,0.4251366120218579,0.321311475409836,0.33879781420765026,1.0,0.15737704918032785,0.3322404371584699,0.30928961748633876,0.33879781420765026,0.3163660532168896,0.18469945355191256,0.37486338797814206,0.1792349726775956,0.1776441717067402,0.25416781490348983,0.33770491803278685,0.3836065573770492,0.11475409836065573,0.31308197653989767,0.24918032786885247,0.26291337412597554,0.24665034276933165,0.21699918820792574,0.31256830601092894,0.36393442622950817,0.26885245901639343,0.2327868852459016,0.160655737704918,0.3398907103825136,0.380327868852459,0.35956284153005463,0.22513661202185792,0.30163934426229505,0.2896174863387978,0.22513661202185792,0.21857923497267756,0.2612021857923497,0.3508196721311475
DFS,0.2819672131147541,0.20765027322404372,0.21092896174863388,0.06120218579234973,0.17704918032786884,0.16174863387978142,0.23715846994535517,0.18360655737704917,0.25464480874316936,0.15628415300546447,0.10710382513661201,0.11366120218579233,0.1535938838449046,0.17704918032786884,0.2349726775956284,0.15846994535519124,0.07431693989071038,0.1535938838449046,0.25573770491803277,0.19453551912568307,0.2743169398907104,0.17814207650273223,0.15737704918032785,1.0,0.14754098360655737,0.20983606557377046,0.19999999999999996,0.22331721403545146,0.034972677595628415,0.24043715846994532,0.16721311475409836,0.1754577819011188,0.07488385084253357,0.14863387978142076,0.3300546448087432,0.08524590163934426,0.09523822363276607,0.11693989071038251,0.12298442656620477,0.135083447148614,0.05520634259194081,0.19781420765027322,0.2754098360655738,0.1650273224043716,0.0896174863387978,0.0721311475409836,0.23825136612021858,0.2590163934426229,0.32349726775956283,0.18688524590163932,0.1519125683060109,0.13989071038251366,0.1628415300546448,0.15409836065573768,0.25136612021857924,0.14863387978142076
BAC,0.33879781420765026,0.34098360655737703,0.4207650273224044,0.22295081967213112,0.30163934426229505,0.23387978142076501,0.3530054644808743,0.3540983606557377,0.3967213114754098,0.38142076502732236,0.3431693989071038,0.38907103825136613,0.24214267097257203,0.3038251366120218,0.4688524590163934,0.5540983606557377,-0.013114754098360654,0.21262640859668291,0.3978142076502732,0.45027322404371584,0.3224043715846994,0.32677595628415296,0.3322404371584699,0.14754098360655737,1.0,0.3038251366120218,0.5234972677595627,0.30322974650892187,0.2710382513661202,0.3759562841530054,0.11256830601092896,0.18748292583203657,0.3820716185323428,0.5595628415300546,0.42622950819672134,0.12459016393442623,0.41269896907531967,0.38797814207650266,0.33178465300305016,0.331966204126351,0.249795035292247,0.346448087431694,0.3825136612021857,0.27650273224043714,0.2863387978142076,0.06557377049180328,0.37814207650273224,0.42950819672131146,0.3169398907103825,0.18907103825136612,0.3180327868852459,0.30819672131147535,0.28306010928961745,0.3333333333333333,0.3999999999999999,0.31256830601092894
TROW,0.4622950819672131,0.29180327868852457,0.2994535519125683,0.1650273224043716,0.35956284153005463,0.08415300546448087,0.5245901639344263,0.4010928961748634,0.3978142076502732,0.3497267759562841,0.30273224043715846,0.34426229508196715,0.32631867848899665,0.3158469945355191,0.3300546448087432,0.4371584699453551,0.09071038251366119,0.2814976874737576,0.3792349726775956,0.40546448087431686,0.4786885245901639,0.36721311475409835,0.30928961748633876,0.20983606557377046,0.3038251366120218,1.0,0.36284153005464476,0.3218395143452095,0.20437158469945355,0.433879781420765,0.16174863387978142,0.2672861537372183,0.30445478043278246,0.2808743169398907,0.3224043715846994,0.2153005464480874,0.35358558888946484,0.2994535519125683,0.28477727218218973,0.4435330997470686,0.1995080697629544,0.41530054644808745,0.22185792349726777,0.2775956284153005,0.21311475409836067,0.073224043715847,0.3005464480874317,0.3868852459016393,0.38142076502732236,0.31256830601092894,0.38907103825136613,0.3551912568306011,0.2819672131147541,0.31912568306010924,0.4797814207650273,0.24153005464480873
MS,0.41530054644808745,0.3978142076502732,0.5103825136612021,0.25792349726775954,0.3475409836065574,0.2448087431693989,0.4775956284153005,0.3999999999999999,0.4754098360655738,0.4622950819672131,0.39125683060109284,0.4415300546448087,0.29024324669624324,0.3519125683060109,0.7027322404371584,0.5650273224043716,0.10710382513661201,0.2716589333484612,0.43934426229508194,0.5158469945355191,0.4163934426229508,0.3770491803278689,0.33879781420765026,0.19999999999999996,0.5234972677595627,0.36284153005464476,1.0,0.3481121277611449,0.2754098360655738,0.45027322404371584,0.2349726775956284,0.29461602630748607,0.35364855105926435,0.6404371584699453,0.46120218579234973,0.21202185792349726,0.38861574011071215,0.39890710382513656,0.3558349408648858,0.33634137650363405,0.3503689663508322,0.3551912568306011,0.5180327868852458,0.3136612021857923,0.28415300546448086,0.22513661202185792,0.448087431693989,0.5234972677595627,0.3715846994535519,0.24590163934426226,0.34426229508196715,0.34535519125683056,0.307103825136612,0.4229508196721311,0.5617486338797814,0.30819672131147535
MMC,0.4575813503275427,0.22988536738943535,0.32840766769919333,0.13683652820799722,0.4619601192301987,0.246305750774395,0.43130873691160726,0.31308197653989767,0.3043244387345858,0.3010403620575939,0.247400443000059,0.3743847411770804,0.37284458686477,0.4641495036815266,0.42036181465496747,0.4028467390443438,0.08648068582745425,0.1834110669599089,0.394089201239032,0.36343781892044064,0.4269299680089514,0.3273129754735294,0.3163660532168896,0.22331721403545146,0.30322974650892187,0.32183951434520947,0.348112127761145,1.0,0.18500298613721225,0.38971043233637614,0.23973759742041115,0.19874094718342367,0.29400520285812265,0.35468028111512884,0.345922743309817,0.30870320763724174,0.36622807017543857,0.345922743309817,0.37722455264291715,0.3062175780403124,0.31809501463793155,0.25615798080537083,0.27695713309298636,0.34263866663282505,0.2594420574823627,0.17515075610623645,0.2846199786726343,0.2671049030620106,0.4269299680089514,0.15544629604428487,0.3010403620575939,0.37219535672575244,0.42255119910629546,0.3929945090133681,0.40941489239832773,0.3404492821814971
