tickers,KMB,EL,CHD,COST,K,TAP,PEP,MDLZ,TGT,HSY,KO,STZ,NWL,DG,MO,PM,CAG,TSN,CL,CLX,DLTR,MKC,ADM,WMT,MNST,CPB,GIS,HRL,PG,SYY,SJM,KR
KO,0.3473684210526316,0.39999999999999997,0.4210526315789474,0.12631578947368421,0.5578947368421052,-0.16842105263157894,0.6842105263157895,0.39999999999999997,0.2631578947368421,0.4105263157894737,1.0,0.17894736842105263,0.2796843508637424,-0.052631578947368425,0.3473684210526316,0.49473684210526314,0.3473684210526316,0.37894736842105264,0.4631578947368421,0.35789473684210527,0.09473684210526316,0.021052631578947368,0.39999999999999997,0.17894736842105263,0.28421052631578947,0.3157894736842105,0.4210526315789474,0.4421052631578947,0.5789473684210527,0.4379962475790683,0.0736842105263158,0.2105263157894737
STZ,0.38947368421052636,0.6105263157894737,0.35789473684210527,0.3157894736842105,0.22105263157894736,0.10526315789473685,0.30526315789473685,0.25263157894736843,0.052631578947368425,0.22105263157894736,0.17894736842105263,1.0,0.33245498310218435,-0.010526315789473684,0.3473684210526316,0.17894736842105263,0.28421052631578947,0.18947368421052632,0.39999999999999997,0.3368421052631579,0.22105263157894736,0.12631578947368421,0.4421052631578947,0.43157894736842106,0.031578947368421054,0.18947368421052632,0.2947368421052632,0.2105263157894737,0.45263157894736844,0.2902384773114308,0.17894736842105263,0.4210526315789474
NWL,0.3007926037591192,0.3007926037591192,0.16358895993917008,0.2796843508637424,0.36411736244524956,0.036939442566909376,0.3852256153406263,0.45910450047444507,0.43799624757906824,0.19525133928223526,0.2796843508637424,0.33245498310218435,1.0,0.4168879946836915,0.4274421211313799,0.4063338682360031,0.4063338682360031,0.1213724541484165,0.2480219715206772,0.1424807070437933,0.22691371862530044,0.23746784507298882,0.3535632359975611,0.4063338682360031,0.1319265805961049,0.31134673020680753,0.2480219715206772,0.3746714888929379,0.2796843508637424,0.47619047619047616,0.15303483349148167,0.269130224416054
DG,0.19999999999999998,0.0,-0.021052631578947368,0.12631578947368421,0.052631578947368425,0.10526315789473685,-0.010526315789473684,0.1473684210526316,0.30526315789473685,0.0736842105263158,-0.052631578947368425,-0.010526315789473684,0.4168879946836915,1.0,0.1368421052631579,0.15789473684210525,0.1368421052631579,-0.12631578947368421,0.021052631578947368,-0.042105263157894736,0.3263157894736842,0.3157894736842105,-0.021052631578947368,0.052631578947368425,0.010526315789473684,0.12631578947368421,0.042105263157894736,0.16842105263157894,-0.09473684210526316,0.06860182190997455,0.09473684210526316,-0.021052631578947368
MO,0.4105263157894737,0.35789473684210527,0.4631578947368421,0.18947368421052632,0.30526315789473685,0.16842105263157894,0.4736842105263158,0.3368421052631579,0.11578947368421053,0.24210526315789474,0.3473684210526316,0.3473684210526316,0.4274421211313799,0.1368421052631579,1.0,0.5157894736842106,0.5789473684210527,0.3157894736842105,0.39999999999999997,0.35789473684210527,0.17894736842105263,0.18947368421052632,0.4210526315789474,0.45263157894736844,0.3263157894736842,0.16842105263157894,0.23157894736842105,0.16842105263157894,0.5578947368421052,0.3535632359975612,0.3684210526315789,0.39999999999999997
PM,0.3684210526315789,0.3157894736842105,0.35789473684210527,0.18947368421052632,0.3263157894736842,0.10526315789473685,0.5157894736842106,0.3157894736842105,0.2631578947368421,0.11578947368421053,0.49473684210526314,0.17894736842105263,0.4063338682360031,0.15789473684210525,0.5157894736842106,1.0,0.3473684210526316,0.3368421052631579,0.2736842105263158,0.1473684210526316,0.2631578947368421,0.2947368421052632,0.5263157894736842,0.2631578947368421,0.11578947368421053,0.10526315789473685,0.1473684210526316,0.23157894736842105,0.45263157894736844,0.2269137186253004,0.1368421052631579,0.3157894736842105
CAG,0.2631578947368421,0.35789473684210527,0.3368421052631579,0.37894736842105264,0.3473684210526316,-0.08421052631578947,0.30526315789473685,0.3368421052631579,0.052631578947368425,0.19999999999999998,0.3473684210526316,0.28421052631578947,0.4063338682360031,0.1368421052631579,0.5789473684210527,0.3473684210526316,1.0,0.2947368421052632,0.37894736842105264,0.3157894736842105,0.15789473684210525,0.2736842105263158,0.37894736842105264,0.2631578947368421,0.22105263157894736,0.08421052631578947,0.37894736842105264,0.25263157894736843,0.5157894736842106,0.45910450047444507,0.24210526315789474,0.18947368421052632
TSN,0.39999999999999997,0.4105263157894737,0.3263157894736842,0.24210526315789474,0.5052631578947369,-0.052631578947368425,0.37894736842105264,0.22105263157894736,0.10526315789473685,0.39999999999999997,0.37894736842105264,0.18947368421052632,0.1213724541484165,-0.12631578947368421,0.3157894736842105,0.3368421052631579,0.2947368421052632,1.0,0.24210526315789474,0.28421052631578947,0.08421052631578947,0.1368421052631579,0.5157894736842106,0.042105263157894736,0.06315789473684211,0.30526315789473685,0.45263157894736844,0.4105263157894737,0.4842105263157895,0.45910450047444507,0.3368421052631579,0.19999999999999998
CL,0.5263157894736842,0.3473684210526316,0.5789473684210527,0.38947368421052636,0.5473684210526316,-0.09473684210526316,0.5263157894736842,0.5368421052631579,0.25263157894736843,0.37894736842105264,0.4631578947368421,0.39999999999999997,0.24802197152067723,0.021052631578947368,0.39999999999999997,0.2736842105263158,0.37894736842105264,0.24210526315789474,1.0,0.45263157894736844,0.1473684210526316,0.09473684210526316,0.3684210526315789,0.4210526315789474,0.23157894736842105,0.30526315789473685,0.5789473684210527,0.45263157894736844,0.5263157894736842,0.269130224416054,0.2105263157894737,0.24210526315789474
CLX,0.4842105263157895,0.45263157894736844,0.4105263157894737,0.19999999999999998,0.35789473684210527,-0.010526315789473684,0.4210526315789474,0.15789473684210525,0.18947368421052632,0.37894736842105264,0.35789473684210527,0.3368421052631579,0.14248070704379331,-0.042105263157894736,0.35789473684210527,0.1473684210526316,0.3157894736842105,0.28421052631578947,0.45263157894736844,1.0,0.0,-0.09473684210526316,0.3684210526315789,0.2105263157894737,0.3157894736842105,0.30526315789473685,0.45263157894736844,0.28421052631578947,0.5473684210526316,0.33245498310218435,0.2105263157894737,0.22105263157894736
