tickers,CERN,XRAY,LH,HCA,AMGN,CVS,BMY,ABT,CAH,PFE,JNJ,MRK,VAR,BAX,BDX,PKI,HUM,DHR,LLY,MDT,TMO,CI,COO,MYL,SYK,HOLX,REGN,IDXX,VRTX,BIIB,PRGO,GILD,BSX,PDCO,UHS,INCY,MCK,ABC,RMD,DVA,HSIC,WAT,ALXN,DGX,MTD,A,EW,ISRG,ILMN,ALGN,CNC,UNH
JNJ,0.06719634867280874,-0.02088428378891027,-0.009103191323314924,0.5305603943303683,0.6659914050972443,0.45689919738122875,0.004668459845687105,0.46594512057673576,-0.13688092228272203,0.6369283465602024,1.0,0.7007127846088049,0.011963532014272613,0.5525105628548672,0.19508663548062657,0.4615533127476648,-0.45545037738206645,0.1593860124990774,0.6629029313021221,0.5755377172449719,0.53216471648675,0.3146804849157876,0.3112076308429201,0.5576718907334084,0.16536296544878648,0.13975120948110284,0.44911421229902765,0.5256540957477398,0.07830338643348154,0.49214549622680837,0.32329960864564183,0.5873180416439995,-0.379695542805238,0.36731148704889677,0.3149294957591343,-0.19265479527596555,0.38450408609875614,0.5941467044147952,0.522613248868896,0.7011706241480867,0.49057516209143437,-0.054607734839341115,0.35681331179328596,0.286656919665155,0.11878770491748361,-0.3373602530838555,0.3414956376603768,-0.024694936151781526,0.17618681586357057,0.12782862426760463,-0.07197877980070232,-0.13352423560859986
MRK,-0.000128681507613653,-0.11006517018079576,0.021940197048127833,0.5645299123686065,0.6403680721695956,0.430944029818065,0.0934119134790487,0.6181239769884667,-0.2018995643278232,0.6823207603563393,0.7007127846088049,1.0,-0.13711365977352663,0.41118853502021513,0.15897023404732513,0.35851151901446876,-0.4070310495974617,0.17356462409886714,0.6665487390695156,0.5597387207626823,0.3925176950565172,0.26217747962651416,0.36569487597028133,0.41386856090175356,0.10121855607852437,0.13056074408190327,0.4727373477790044,0.6062137554768964,0.17765775228167652,0.5743737842358689,0.47106131516805105,0.5590521125027356,-0.392371482649473,0.47412725764637814,0.23869268328152082,-0.08240556173911773,0.3028773123884202,0.444244199374003,0.5023726057237012,0.6164435838545101,0.4126172541631783,-0.17223637065147432,0.5131859520824215,0.3376468780393241,-0.02383097013806319,-0.42778082747918117,0.4583696381726995,-0.03064703768465122,0.06973640752528622,0.295351481514222,-0.20409150981396743,-0.05325481936546358
VAR,0.03703763322955193,0.48051726821564894,-0.06635909286961389,-0.024114593444353877,-0.11738802013698454,-0.07157104211060229,-0.20991163756843315,-0.27323581770788674,0.08475180380044718,-0.08125716056052132,0.011963532014272612,-0.13711365977352663,1.0,0.22556222121181177,0.3069081257928434,0.21300749369338987,0.246448087431694,0.13338267583411093,-0.09806601334037243,0.151498600381159,0.24638729742972565,0.42233370470295917,0.10858070427785699,0.22079657347357434,0.266469449672817,0.20752781361731074,-0.06402159831696898,-0.1591347393362625,-0.2827802339382241,-0.19956929843240837,-0.3920862731738602,-0.045959279916298015,0.26616783704533065,-0.3121170765029419,0.291239354349423,-0.3721581185087552,-0.01658763969031142,0.22697160628457905,-0.004308196920798576,-0.04345380650053229,-0.010963396641733689,0.4800064288010286,-0.3175200091898632,-0.080781137511098,0.5715617292664579,0.32397584250076533,-0.3340939797487274,0.06482404068912481,0.37740094954313197,-0.45521477184395825,0.41728815824959337,-0.08165038131347119
BAX,0.047623641416351614,0.26574666159589533,0.0018972281185447302,0.49077051939223526,0.49236458077235323,0.39060570129969036,-0.22697510995550868,0.34289940357170484,-0.23035713422205786,0.4943535464323412,0.5525105628548671,0.4111885350202151,0.22556222121181177,0.9999999999999999,0.4129501498054985,0.7140422154462203,-0.37962353307711993,0.4555178888973749,0.43880242035954714,0.587189034665665,0.8319935695619326,0.5275683010055202,0.46240155176289627,0.7523399303443414,0.29055519526426277,0.3760679000804107,0.537175764678286,0.37207658645021924,-0.009226219484073685,0.3891148265416842,0.13544446482493794,0.5805072786981729,-0.15492331717873106,0.23987263244093307,0.5341564977619242,-0.3378415420808721,0.2895955257507618,0.5003458497239515,0.5526078850371388,0.6302880551813701,0.44359765924278904,0.2777733168856975,0.29401270887842623,0.3152662493861811,0.45236680946175534,-0.07628849567684355,0.09412218964368761,0.03343030454483004,0.47948685195082835,0.05421483351987767,0.19207459329073726,-0.11115936151427136
BDX,-0.08595094892680127,0.3768563671669725,0.28223563842954885,0.22505670501111155,0.1557188789562026,0.15180870519898096,-0.17373389386838262,0.08919554098159607,0.010366031534055603,0.1436088936449267,0.19508663548062657,0.15897023404732513,0.3069081257928434,0.4129501498054985,0.9999999999999999,0.37984010021563513,-0.0006753715437126387,0.5470313782531336,0.08228917258696732,0.4212676971399164,0.43493787050546884,0.34051794332903756,0.24904729422487257,0.3500587196215241,0.5696535167483449,0.44401173448748205,0.16894709203127253,0.19832136072773277,-0.145161056672804,0.1700862132137147,-0.0887616906070052,0.2260559682108576,0.2973193481512927,0.045769833319205734,0.4623822220016024,-0.18651266133663202,-0.06960102291594923,0.2159544347373687,0.19293929328703371,0.1457995302321548,0.1977643839827748,0.46526667251860687,0.06955656184633333,0.32322648771057005,0.5457119068572707,0.2673251421660489,-0.027493735186184826,-0.07714076166269429,0.4962128380532647,0.0011258363938087068,0.29727907297712325,-0.04797297307229934
PKI,0.1590492455077313,0.35918144753778564,-0.07214306525254627,0.5164527689181574,0.49305425878626424,0.4717542979208211,-0.2105433147909938,0.38382247639109335,-0.2712246791237905,0.5103623927932647,0.4615533127476648,0.35851151901446876,0.21300749369338987,0.7140422154462203,0.37984010021563513,1.0,-0.3909639354354218,0.5103206508319399,0.46759304320897194,0.5133270068872153,0.7685652973654773,0.592952381646667,0.6491414806051208,0.6818620515689118,0.2940324889780824,0.26428516097794563,0.635554078605449,0.42720948710067747,0.10929261721386271,0.42798120377164056,0.15637662952309417,0.5688702540985587,-0.05110357991242792,0.2999163496273048,0.5281016475902257,-0.29764030308343065,0.3187972507675897,0.34221915302828965,0.6656910483869595,0.5652230579803009,0.5232704095379738,0.29462177796178113,0.317165358275408,0.23758108545665343,0.46976742542616695,-0.06607582314151943,0.15979938907801178,0.13465157665530966,0.4509085295079567,0.12257369645344315,0.08631474499576222,0.016793475657754225
HUM,-0.14435674757004183,0.075712024724206,0.24582443027183515,-0.4869218708283935,-0.6138763440788967,-0.4420034560187803,0.13956565570048973,-0.5489471217039846,0.3282925794138051,-0.5397843049111432,-0.45545037738206645,-0.4070310495974617,0.246448087431694,-0.3796235330771199,-0.0006753715437126387,-0.3909639354354218,1.0,-0.10527164166989271,-0.5485266188809028,-0.29929897553543766,-0.38739130141286454,-0.09031864305372,-0.32426351236087075,-0.39946621550957484,-0.011647179519628077,0.14762752080140118,-0.5911070463080791,-0.3922280800081622,-0.2301968669544852,-0.6161609681026362,-0.2507834975653761,-0.6065982161819641,0.38141143893963914,-0.46010084808751545,-0.13447998887776094,-0.015467731357704245,-0.3750863951677397,-0.2544384833948285,-0.5684890892056748,-0.4977903513907131,-0.5219991433289977,0.20427515268402444,-0.44961913235722206,-0.11320940776644915,0.016681130151790565,0.4093189577362027,-0.44221251249280813,0.0835288456871767,-0.036261351881145897,-0.2912487194105811,0.1543332907908711,0.263345794634114
DHR,0.03410059951761804,0.42687263663101604,0.2552397703516807,0.2626558502637091,0.18641754627297719,0.2741961453446931,-0.08001675456581732,0.2753329752299915,-0.10209273137992782,0.2816769965977133,0.1593860124990774,0.17356462409886714,0.13338267583411093,0.4555178888973749,0.5470313782531336,0.5103206508319399,-0.10527164166989271,1.0,0.19258426257699202,0.33693728916964905,0.47287412861258826,0.38726596174553335,0.3906534708474087,0.36296356452898304,0.46655830619910155,0.42319578462642565,0.34236474860240007,0.2633069136871638,0.06502968412627624,0.28266818912867747,0.11983985117548533,0.23328140957747603,0.20775268720653092,0.1914020418199039,0.4518111504971644,-0.10628097244213427,0.055068602252440035,0.1250281595601276,0.3381106612548732,0.25875965545144974,0.3239556954173714,0.4011772644511371,0.29269319733672483,0.4496700580924128,0.4286680175037034,0.2026127018154497,0.04003860236616929,0.05438000076048816,0.39918303385092335,0.24954160136214143,0.1202676367524703,0.13627441692612582
LLY,0.20459881052129267,-0.05639739055820347,-0.13278662191801593,0.60679252564886,0.7726513087943254,0.584179337274156,0.1169105409803531,0.6867010800333735,-0.2109396925856584,0.8224146655859068,0.6629029313021221,0.6665487390695156,-0.09806601334037243,0.4388024203595472,0.08228917258696732,0.46759304320897194,-0.5485266188809028,0.19258426257699202,1.0,0.4796140002684867,0.4404604982253165,0.31756854551022623,0.5094527896403015,0.449755538498446,0.05577369965865444,0.05251557382700787,0.6664631199916077,0.5742762395805854,0.24495243301356479,0.7017860126282062,0.43878209026324994,0.6865878565269773,-0.3549336221019466,0.46334799055597964,0.29128680261039136,-0.04239509830990137,0.47220168729891,0.43656604416420774,0.7160958368245244,0.6856454456547587,0.5569705751993504,-0.12018713372665972,0.5307914008715303,0.2535760084149811,0.00546544749534586,-0.4693546082268426,0.47997946361650023,0.04063459788266476,0.0851152786026704,0.3397919324065547,-0.2571745582627154,0.018592682237101633
MDT,-0.08761800862874299,0.05296436384058259,0.07790411780426414,0.530245283730767,0.49838411669609745,0.38263501300242897,-0.14870741623464495,0.38084977955374577,-0.2560116269386019,0.4943921705038358,0.575537717244972,0.5597387207626822,0.151498600381159,0.587189034665665,0.4212676971399164,0.5133270068872154,-0.2992989755354377,0.33693728916964905,0.4796140002684867,0.9999999999999999,0.6102632837178179,0.3920288274080403,0.38216523698647714,0.6237593501973291,0.2995831895578831,0.3341057787182642,0.41973609136585593,0.510997559433934,0.049134209530083364,0.4367805581644406,0.1655491955575887,0.5539461760419002,-0.17473615882685792,0.29011443708433016,0.40542280814753523,-0.28526847487658263,0.11520093411780935,0.4888023722834788,0.48247802108338644,0.488882535317844,0.37887390735608056,0.09123360842312633,0.3246728675705616,0.36037981445527667,0.2776617026316529,-0.17935272202869237,0.24987142448814026,-0.13038168408387474,0.28533296691602583,0.09440334825238092,0.04576445957323994,-0.1535615468760054
