tickers,EFX,UAL,AYI,CAT,AME,FLS,FAST,URI,NOC,ITW,WM,TDG,PCAR,HII,PWR,FDX,PAYX,ROK,HON,XYL,CMI,GPN,UNP,CHRW,KSU,JBHT,NSC,LUV,MMM,JCI,AOS,RSG,CSX,DAL,DOV,ETN,BA,PH,ALK,SRCL,UPS,MAS,SNA,VRSK,RHI,LMT,TXT,ADP,GWW,PNR,AVY,EXPD,ROP,DE,EMR,FLR,CTAS,GE,SWK
WM,0.31289193125450737,0.011044957452169414,0.31420602918619456,0.341358216256111,0.3087986021002366,0.31800273331037776,0.3058072594569407,0.31202004802378597,0.3115598414632789,0.33986254493446305,1.0,0.3197285079122792,0.3079932406193492,0.16878075606596388,0.3138304179604396,0.32927779404280066,0.3199355558610224,0.32083072267078283,0.3606868917974075,0.2549042374312782,0.34964193434523805,0.19911403786637608,0.39014011166985924,0.3249727008010135,0.31351571934543393,0.2443696836292483,0.3661623722071961,0.07323247444143922,0.3426434872092959,0.27630445777080326,0.3148478653715608,0.453381678554543,0.32275697039128054,0.006270494669376963,0.3842724780233942,0.3387120285331954,0.3289326391224204,0.3389138390843171,0.08697903993583415,0.4050968248863387,0.33327582240968406,0.2368913270210086,0.3501697344265833,0.1674001363844427,0.35582788910821617,0.27911527894753124,0.350975119063017,0.3344264380575684,0.3195834961998611,0.3070241289033473,0.3047717946957998,0.3411281129758575,0.35712029095347775,0.3130069862025694,0.34407182217929927,0.39589269367619745,0.31323709609869327,0.26466443164351494,0.3223746956351948
TDG,0.3057991433367662,0.08745903053303433,0.3388534299350239,0.3142429992524869,0.40831464550629637,0.37220401357023747,0.3717440055200966,0.27640733712839977,0.29641768730952794,0.39152435167615435,0.31972850791227925,1.0,0.3295382669196711,0.2332815824276925,0.2848845578326221,0.27790236329135765,0.30927184069693775,0.306834191208158,0.3634638606175608,0.29257353164675937,0.3611638203668564,0.22795365103926407,0.30078776378586625,0.2808429891043186,0.3432235064113622,0.22983152205163593,0.2930335529229336,0.0822288031161293,0.3163312253648766,0.3120094305651172,0.3329403986310411,0.30509547267992043,0.30346771147871704,0.10718495734857694,0.3449485365993905,0.29308262894600656,0.3451785406244609,0.35745708750253924,0.15899028232994078,0.275487321028118,0.2891399993505095,0.3147030073026278,0.34754607414957034,0.2261514576505089,0.37194859104993944,0.28008740152952677,0.3875679251767214,0.30915207567787173,0.3168578751832353,0.2900434146278016,0.25444195273417286,0.2540969466965672,0.3429935023862918,0.3112043933318125,0.3204048188552955,0.28376746593065383,0.3167246486459023,0.300264554733622,0.3331033293082629
PCAR,0.3246600156599064,0.105629348513599,0.43752515669024206,0.5134264849634869,0.451095394169398,0.47432580070151226,0.3480535909378414,0.3757690759588293,0.3396584440227704,0.49019607843137253,0.30799324061934924,0.3295382669196711,1.0,0.17785061238571676,0.3255987820848419,0.3765740900465758,0.40624642195322136,0.455536068731452,0.47409579667644186,0.38986803155759214,0.5520671611753206,0.3473360374059422,0.3391984359726295,0.3114344039698996,0.3538036915646024,0.2818124317175551,0.3459359996829608,0.2060895317260192,0.447671076070817,0.4501308187364058,0.3827377017768928,0.2652979105508903,0.3240554394888328,0.11385526585310213,0.48341095969179465,0.5097464205623599,0.3757690759588293,0.5222691873709879,0.23489161060318556,0.24029670519234086,0.34894620446676444,0.46627565982404695,0.5072884623010439,0.22178138117417057,0.47016878176009663,0.3113679489391064,0.49256778146347113,0.43140976036744677,0.34722102547302636,0.39078807410994043,0.36806394111896956,0.3759990799838997,0.4531654303950319,0.4386302868320521,0.4135591272805609,0.42130987292277616,0.3343204624595635,0.4226478093731829,0.46144557529756774
HII,0.16928782963208722,0.1128744753033178,0.2071761255821977,0.18440572710022424,0.23477660859065033,0.2506468863205106,0.16761543327008224,0.17440055200966018,0.1810706687367029,0.20763613363233857,0.1687807560659639,0.2332815824276925,0.17785061238571676,1.0,0.22254809019221794,0.25984704732332814,0.23898540042696229,0.1753831115413947,0.22948651601403025,0.21540496256854574,0.159105284342476,0.2510710495553549,0.17647058823529413,0.2174750583113294,0.20372606520614112,0.22603645563797367,0.13846640412841915,0.11627037755301642,0.21029327234309286,0.1806733562173974,0.2599120210383948,0.16361858996689418,0.1924780046085401,0.1260458296717171,0.2155712724972687,0.17083548962106837,0.1953309182910701,0.1860893074578856,0.18601575527571734,0.20269104709332414,0.27211823327896,0.2023460410557185,0.1944739945026219,0.17566557414754758,0.2177175890097512,0.18383071703754816,0.26600730294770225,0.20495126445608905,0.1718278277763171,0.2121848136353267,0.20809614168247945,0.2332815824276925,0.19797596457938016,0.19125384556940286,0.15399212219929673,0.23949169110459434,0.20769960619262873,0.20272602096073883,0.1988959806796619
PWR,0.35879004027353967,0.14606515480316112,0.35113143119216605,0.33525978444977533,0.3475660612717739,0.35389171758214705,0.2550964672074106,0.2770637463943426,0.2817792356438935,0.39782627595601133,0.3138304179604396,0.2848845578326221,0.3255987820848419,0.22254809019221794,1.0,0.36355271994708055,0.34444477099465765,0.2936914145980072,0.3895454167860683,0.3192247978134987,0.34963627606425973,0.2869220151828848,0.4184134119479529,0.2196216002251399,0.3771241280311538,0.36941832852579015,0.3964000236585204,0.20938524389100144,0.359778014353528,0.3181896606561139,0.4289493364962866,0.25168953016913503,0.39545650627421797,0.19040772933894692,0.33721498730934524,0.3167428632503195,0.3232985434265243,0.32752472969864277,0.2935104528013127,0.2956956795267144,0.35087416609155747,0.3973662282243478,0.37408706715489265,0.24187009492208492,0.3764090177133656,0.26165214738361536,0.34326298291276774,0.378939498504716,0.3063607085346216,0.29564667367306735,0.2858046532959491,0.3180079945123941,0.36297766028250117,0.3011674051791196,0.3115187767529675,0.3734437461778458,0.3336017027771764,0.32634515406299636,0.3615975170875107
FDX,0.3443259252163513,0.2616870795238917,0.3371283997469956,0.386119257086999,0.39485941003967573,0.4038295670174228,0.33275832327065724,0.32436317635558626,0.3241331723305158,0.3994594905410845,0.3292777940428007,0.27790236329135765,0.3765740900465758,0.25984704732332814,0.3635527199470806,1.0,0.3155987706721401,0.33639055820234715,0.41946984072221266,0.31695465928398936,0.36886895520671614,0.3084620040803765,0.4149847622333391,0.424714643227784,0.3916393536886896,0.39669944224023923,0.4005635262286411,0.29694373377041383,0.42351926464503115,0.41873436663752006,0.3789425262484561,0.26414769199224786,0.41353729642665427,0.2769328082568383,0.34437352653671444,0.3403484560979817,0.3333333333333333,0.4128928391679909,0.294347651083894,0.2926226208958657,0.5241093782976419,0.41601978034615605,0.41976941450891186,0.2570869990224829,0.4534920514872947,0.34759358288770054,0.4372502230035296,0.3350297605839436,0.3326145099927102,0.37802248369610775,0.3909493416134783,0.4934161347823587,0.3711689954574205,0.34214082415452407,0.36537189860131863,0.4011845207291128,0.3923981485765499,0.354784914413276,0.36564889885573
PAYX,0.381122212300979,0.12210974852140576,0.3816289125951612,0.2992637878270722,0.42534224696928663,0.36184287703634654,0.3090417705160213,0.2893707700476648,0.34470264855807103,0.36690442101650844,0.3199355558610224,0.3092718406969377,0.40624642195322136,0.2389854004269623,0.34444477099465765,0.3155987706721401,1.0,0.3494866528736415,0.40854712376238583,0.3060021384607921,0.3154837355816819,0.38379016567741414,0.3305533324317093,0.2687296975354926,0.31398827940572493,0.2889106296858319,0.33372639235893153,0.17186736648888096,0.422605705750309,0.3450001553548554,0.39872308718237043,0.27699476683366603,0.32955591839095855,0.1255068921280918,0.37530198261995884,0.31168757759656046,0.3716208597252956,0.3687192688837267,0.24715289184949626,0.3161739461244312,0.3277632440092784,0.3636834384836781,0.4018291239261454,0.28120327862513084,0.4370560070169353,0.33699529749736995,0.3270541652797112,0.5967384860218067,0.31246225718820647,0.3033562553086875,0.29799840183203163,0.3119176477774769,0.4109628606620086,0.31532024869211694,0.3623709534404117,0.3554009119706859,0.32912485644222783,0.3645515757891883,0.3718509299062121
ROK,0.25871190339275446,0.08602397864456605,0.4548460368171908,0.44449555810327246,0.452315919798233,0.41608924429951866,0.3191397603458166,0.32178488268381794,0.37330726561532274,0.4822173027495527,0.32083072267078283,0.306834191208158,0.455536068731452,0.1753831115413947,0.2936914145980072,0.3363905582023472,0.34948665287364145,1.0,0.4484057389507527,0.4064979873490511,0.44932578150310104,0.2836850887432875,0.3279951699121689,0.3025301897642323,0.3124694518412914,0.2901584199468451,0.31230592294422077,0.15209890741805634,0.4188734582944285,0.44479585968947666,0.4212190914318574,0.21624730633302314,0.28386577441214184,0.07584818861414605,0.4421954517224017,0.4056237602665568,0.3516862656351377,0.5129104614841642,0.18389350515061645,0.26106207422883015,0.32336534644303794,0.4026336219714248,0.4128234617596319,0.1389264254045933,0.4479268510483411,0.2976337656846751,0.41650373778033345,0.3920294445495624,0.32957616938734663,0.3823461759631972,0.35985164328722885,0.3107443720556383,0.45714614319806157,0.3664749856239218,0.4591719378953421,0.36801702093932004,0.32760207015526166,0.4027030954637841,0.39320318580985475
HON,0.3560564677587921,0.10643436260134553,0.4424702432292565,0.502501293772641,0.45926053705939857,0.4647806336610891,0.29940773963544365,0.36599390489333566,0.46397561957334255,0.5321718130067277,0.3606868917974075,0.3634638606175608,0.47409579667644186,0.22948651601403025,0.38954541678606824,0.41946984072221266,0.40854712376238583,0.4484057389507527,1.0,0.39044305815280983,0.47513081478925884,0.39621610889518905,0.3977344603530562,0.3041890688701567,0.3937093899143235,0.3058478523374159,0.41539921238525745,0.2097697019354124,0.5317423815577194,0.5107386218723501,0.4657715421263269,0.31533241785183863,0.4281442319422112,0.15468215411355796,0.5003162555344719,0.5257317003047554,0.4823759415789777,0.5270996885534547,0.2920476108331896,0.2723822666896671,0.4326748916295214,0.41808981657179,0.5129237229341773,0.24029670519234086,0.48972081035579534,0.42648496348686105,0.5244242548385311,0.48903073875830005,0.4013916458764034,0.3980334092096833,0.3950894140647461,0.38002415042263243,0.49192110861940086,0.46692159531676225,0.5100485899580889,0.49042608245644304,0.39078807410994043,0.4761329723500587,0.4553504686332011
XYL,0.29102932719953994,0.04991230846489528,0.3748023347628887,0.40401368579994723,0.3796325581627173,0.4348351113036153,0.26738736677622466,0.34363589330209005,0.320519824174339,0.41206405813299485,0.2549042374312782,0.29257353164675937,0.3898680315575921,0.21540496256854574,0.3192247978134987,0.31695465928398936,0.3060021384607921,0.4064979873490511,0.39044305815280983,1.0,0.4005635262286411,0.30484789284982106,0.35617147307783564,0.24997124784358823,0.3216698773647744,0.21264483491150082,0.3138010350776308,0.12081656124209314,0.41967854182217723,0.3914318573893042,0.4074180563542265,0.23350108077448775,0.3129654668458014,0.07515813686026451,0.34375089862113356,0.4010235475048153,0.3516862656351377,0.4234286049902344,0.21264483491150082,0.254621776362392,0.34487319626869967,0.35686150499209685,0.34450833812535936,0.16215749985138786,0.4241186964284909,0.2907334465420628,0.4166187464059804,0.3532693087674874,0.3112887462735487,0.3690051753881541,0.34639602095913496,0.2719875795379662,0.3728472443391486,0.37705577918343874,0.3621046578493387,0.3997584889953364,0.3272570442783208,0.4018979193231824,0.41792932940421523
